Largest 5-day Cumulative Rainfall - (MM), Year, Model, Statistics, ISO3
-3.5927, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-8.4141, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0404, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-5.2342, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-3.7199, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-8.911, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
10.8214, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.16295, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
16.2268, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-1.3139, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
2.93363, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-17.347, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
6.91896, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
3.76936, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
5.81255, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
1.68602, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
4.24978, 2080-2099, bcc_csm1_1, May Anomaly, NPL
8.23287, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
9.25204, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
55.7383, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
3.47985, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-8.3566, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
0.55987, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
9.79155, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-5.8987, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.8205, 2080-2099, bnu_esm, Feb Anomaly, NPL
0.38139, 2080-2099, bnu_esm, Mar Anomaly, NPL
3.22579, 2080-2099, bnu_esm, Apr Anomaly, NPL
11.2471, 2080-2099, bnu_esm, May Anomaly, NPL
-6.0255, 2080-2099, bnu_esm, Jun Anomaly, NPL
17.5731, 2080-2099, bnu_esm, Jul Anomaly, NPL
11.4266, 2080-2099, bnu_esm, Aug Anomaly, NPL
22.1058, 2080-2099, bnu_esm, Sep Anomaly, NPL
14.4908, 2080-2099, bnu_esm, Oct Anomaly, NPL
7.86202, 2080-2099, bnu_esm, Nov Anomaly, NPL
6.09265, 2080-2099, bnu_esm, Dec Anomaly, NPL
3.41011, 2080-2099, canesm2, Jan Anomaly, NPL
-1.0736, 2080-2099, canesm2, Feb Anomaly, NPL
10.7001, 2080-2099, canesm2, Mar Anomaly, NPL
6.33119, 2080-2099, canesm2, Apr Anomaly, NPL
0.11736, 2080-2099, canesm2, May Anomaly, NPL
-0.8302, 2080-2099, canesm2, Jun Anomaly, NPL
34.353, 2080-2099, canesm2, Jul Anomaly, NPL
52.0513, 2080-2099, canesm2, Aug Anomaly, NPL
4.81892, 2080-2099, canesm2, Sep Anomaly, NPL
9.75884, 2080-2099, canesm2, Oct Anomaly, NPL
