Monthly Min-Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
-0.740524, 2040-2059, bcc_csm1_1, Jan Average, Nepal, NPL
1.0267758, 2040-2059, bcc_csm1_1, Feb Average, Nepal, NPL
5.309192, 2040-2059, bcc_csm1_1, Mar Average, Nepal, NPL
10.475597, 2040-2059, bcc_csm1_1, Apr Average, Nepal, NPL
14.557164, 2040-2059, bcc_csm1_1, May Average, Nepal, NPL
17.817598, 2040-2059, bcc_csm1_1, Jun Average, Nepal, NPL
18.466955, 2040-2059, bcc_csm1_1, Jul Average, Nepal, NPL
16.965017, 2040-2059, bcc_csm1_1, Aug Average, Nepal, NPL
14.564324, 2040-2059, bcc_csm1_1, Sep Average, Nepal, NPL
12.143849, 2040-2059, bcc_csm1_1, Oct Average, Nepal, NPL
7.499624, 2040-2059, bcc_csm1_1, Nov Average, Nepal, NPL
3.0759509, 2040-2059, bcc_csm1_1, Dec Average, Nepal, NPL
7.57836, 2040-2059, bcc_csm1_1_m, Jan Average, Nepal, NPL
9.319096, 2040-2059, bcc_csm1_1_m, Feb Average, Nepal, NPL
13.87481, 2040-2059, bcc_csm1_1_m, Mar Average, Nepal, NPL
18.728914, 2040-2059, bcc_csm1_1_m, Apr Average, Nepal, NPL
23.037804, 2040-2059, bcc_csm1_1_m, May Average, Nepal, NPL
24.050001, 2040-2059, bcc_csm1_1_m, Jun Average, Nepal, NPL
22.919643, 2040-2059, bcc_csm1_1_m, Jul Average, Nepal, NPL
21.841524, 2040-2059, bcc_csm1_1_m, Aug Average, Nepal, NPL
20.835197, 2040-2059, bcc_csm1_1_m, Sep Average, Nepal, NPL
17.952528, 2040-2059, bcc_csm1_1_m, Oct Average, Nepal, NPL
13.364063, 2040-2059, bcc_csm1_1_m, Nov Average, Nepal, NPL
9.738883, 2040-2059, bcc_csm1_1_m, Dec Average, Nepal, NPL
6.84336, 2040-2059, ccsm4, Jan Average, Nepal, NPL
8.077768, 2040-2059, ccsm4, Feb Average, Nepal, NPL
12.683889, 2040-2059, ccsm4, Mar Average, Nepal, NPL
18.60745, 2040-2059, ccsm4, Apr Average, Nepal, NPL
22.665709, 2040-2059, ccsm4, May Average, Nepal, NPL
24.446308, 2040-2059, ccsm4, Jun Average, Nepal, NPL
23.937819, 2040-2059, ccsm4, Jul Average, Nepal, NPL
23.605515, 2040-2059, ccsm4, Aug Average, Nepal, NPL
21.76253, 2040-2059, ccsm4, Sep Average, Nepal, NPL
16.5803, 2040-2059, ccsm4, Oct Average, Nepal, NPL
11.512609, 2040-2059, ccsm4, Nov Average, Nepal, NPL
8.176922, 2040-2059, ccsm4, Dec Average, Nepal, NPL
4.939903, 2040-2059, cesm1_cam5, Jan Average, Nepal, NPL
7.2123494, 2040-2059, cesm1_cam5, Feb Average, Nepal, NPL
12.311058, 2040-2059, cesm1_cam5, Mar Average, Nepal, NPL
18.334747, 2040-2059, cesm1_cam5, Apr Average, Nepal, NPL
21.230858, 2040-2059, cesm1_cam5, May Average, Nepal, NPL
23.347183, 2040-2059, cesm1_cam5, Jun Average, Nepal, NPL
23.351929, 2040-2059, cesm1_cam5, Jul Average, Nepal, NPL
22.867064, 2040-2059, cesm1_cam5, Aug Average, Nepal, NPL
21.757078, 2040-2059, cesm1_cam5, Sep Average, Nepal, NPL
17.21517, 2040-2059, cesm1_cam5, Oct Average, Nepal, NPL
10.671251, 2040-2059, cesm1_cam5, Nov Average, Nepal, NPL
6.17132, 2040-2059, cesm1_cam5, Dec Average, Nepal, NPL
1.8792785, 2040-2059, csiro_mk3_6_0, Jan Average, Nepal, NPL
3.651388, 2040-2059, csiro_mk3_6_0, Feb Average, Nepal, NPL
7.8304114, 2040-2059, csiro_mk3_6_0, Mar Average, Nepal, NPL
13.223553, 2040-2059, csiro_mk3_6_0, Apr Average, Nepal, NPL
18.144371, 2040-2059, csiro_mk3_6_0, May Average, Nepal, NPL
22.244688, 2040-2059, csiro_mk3_6_0, Jun Average, Nepal, NPL
22.413464, 2040-2059, csiro_mk3_6_0, Jul Average, Nepal, NPL
20.96109, 2040-2059, csiro_mk3_6_0, Aug Average, Nepal, NPL
17.791431, 2040-2059, csiro_mk3_6_0, Sep Average, Nepal, NPL
12.919437, 2040-2059, csiro_mk3_6_0, Oct Average, Nepal, NPL
7.467929, 2040-2059, csiro_mk3_6_0, Nov Average, Nepal, NPL
3.4444387, 2040-2059, csiro_mk3_6_0, Dec Average, Nepal, NPL
3.3644054, 2040-2059, fio_esm, Jan Average, Nepal, NPL
4.5923777, 2040-2059, fio_esm, Feb Average, Nepal, NPL
7.434555, 2040-2059, fio_esm, Mar Average, Nepal, NPL
11.711356, 2040-2059, fio_esm, Apr Average, Nepal, NPL
15.768434, 2040-2059, fio_esm, May Average, Nepal, NPL
19.0273, 2040-2059, fio_esm, Jun Average, Nepal, NPL
19.84155, 2040-2059, fio_esm, Jul Average, Nepal, NPL
18.898968, 2040-2059, fio_esm, Aug Average, Nepal, NPL
16.778372, 2040-2059, fio_esm, Sep Average, Nepal, NPL
12.026027, 2040-2059, fio_esm, Oct Average, Nepal, NPL
