Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
0.00365, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.25945, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.75738, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
2.52106, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
1.7411, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
0.24343, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
1.14686, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.31636, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.72525, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.03766, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.05477, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
1.19138, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
1.52158, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.43484, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
1.36145, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.08758, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.19062, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.41235, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.00987, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.00275, 2020-2039, ccsm4, Feb Anomaly, NPL
0.49835, 2020-2039, ccsm4, Mar Anomaly, NPL
1.16011, 2020-2039, ccsm4, Apr Anomaly, NPL
2.64198, 2020-2039, ccsm4, May Anomaly, NPL
1.97944, 2020-2039, ccsm4, Jun Anomaly, NPL
0.81663, 2020-2039, ccsm4, Jul Anomaly, NPL
0.28624, 2020-2039, ccsm4, Aug Anomaly, NPL
0.11356, 2020-2039, ccsm4, Sep Anomaly, NPL
0.0635, 2020-2039, ccsm4, Oct Anomaly, NPL
0.00337, 2020-2039, ccsm4, Nov Anomaly, NPL
0.00944, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.17573, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.5093, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
1.38577, 2020-2039, cesm1_cam5, May Anomaly, NPL
0.82524, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
0.38959, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
