Number of Hot Days (Tmax > 35°C) - (Days), Year, Model, Statistics, ISO3
-0.0254, 2020-2039, access1_0, Mar Anomaly, NPL
-0.0466, 2020-2039, access1_0, Apr Anomaly, NPL
-0.5617, 2020-2039, access1_0, May Anomaly, NPL
-1.0988, 2020-2039, access1_0, Jun Anomaly, NPL
0.2621, 2020-2039, access1_0, Jul Anomaly, NPL
0.53163, 2020-2039, access1_0, Aug Anomaly, NPL
0.66136, 2020-2039, access1_0, Sep Anomaly, NPL
0.04596, 2020-2039, access1_0, Oct Anomaly, NPL
0.18231, 2020-2039, access1_3, Mar Anomaly, NPL
1.26144, 2020-2039, access1_3, Apr Anomaly, NPL
0.3945, 2020-2039, access1_3, May Anomaly, NPL
-1.6912, 2020-2039, access1_3, Jun Anomaly, NPL
-0.4721, 2020-2039, access1_3, Jul Anomaly, NPL
0.28737, 2020-2039, access1_3, Aug Anomaly, NPL
0.52735, 2020-2039, access1_3, Sep Anomaly, NPL
0.07937, 2020-2039, access1_3, Oct Anomaly, NPL
-1.0E-4, 2020-2039, access1_3, Nov Anomaly, NPL
1.9E-4, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
0.16999, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
1.64799, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
3.41653, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
1.00613, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
1.40887, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
0.42577, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
0.0548, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
0.36772, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
0.02067, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
0.09155, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
0.9715, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
2.0827, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.1966, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
0.81621, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
0.13843, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.36213, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
0.86912, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
0.01443, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
9.5E-4, 2020-2039, bnu_esm, Feb Anomaly, NPL
0.23363, 2020-2039, bnu_esm, Mar Anomaly, NPL
1.38948, 2020-2039, bnu_esm, Apr Anomaly, NPL
1.02988, 2020-2039, bnu_esm, May Anomaly, NPL
3.02667, 2020-2039, bnu_esm, Jun Anomaly, NPL
2.08449, 2020-2039, bnu_esm, Jul Anomaly, NPL
0.37952, 2020-2039, bnu_esm, Aug Anomaly, NPL
0.37719, 2020-2039, bnu_esm, Sep Anomaly, NPL
0.12876, 2020-2039, bnu_esm, Oct Anomaly, NPL
0.00106, 2020-2039, bnu_esm, Nov Anomaly, NPL
3.9E-4, 2020-2039, bnu_esm, Dec Anomaly, NPL
0.00167, 2020-2039, canesm2, Feb Anomaly, NPL
0.18543, 2020-2039, canesm2, Mar Anomaly, NPL
0.84159, 2020-2039, canesm2, Apr Anomaly, NPL
3.36929, 2020-2039, canesm2, May Anomaly, NPL
2.75718, 2020-2039, canesm2, Jun Anomaly, NPL
-0.5649, 2020-2039, canesm2, Jul Anomaly, NPL
-0.3175, 2020-2039, canesm2, Aug Anomaly, NPL
0.26548, 2020-2039, canesm2, Sep Anomaly, NPL
0.01597, 2020-2039, canesm2, Oct Anomaly, NPL
0.01582, 2020-2039, canesm2, Nov Anomaly, NPL
1.4E-4, 2020-2039, ccsm4, Feb Anomaly, NPL
0.48288, 2020-2039, ccsm4, Mar Anomaly, NPL
1.75534, 2020-2039, ccsm4, Apr Anomaly, NPL
1.91749, 2020-2039, ccsm4, May Anomaly, NPL
0.09178, 2020-2039, ccsm4, Jun Anomaly, NPL
0.45452, 2020-2039, ccsm4, Jul Anomaly, NPL
0.26215, 2020-2039, ccsm4, Aug Anomaly, NPL
0.03887, 2020-2039, ccsm4, Sep Anomaly, NPL
0.03682, 2020-2039, ccsm4, Oct Anomaly, NPL
0.00487, 2020-2039, ccsm4, Nov Anomaly, NPL
0.26037, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
0.95831, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
1.98564, 2020-2039, cesm1_bgc, May Anomaly, NPL
1.36149, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
0.87699, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
0.21928, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
0.10125, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
0.01971, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
-0.0023, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
0.01071, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.2622, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
1.09907, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
0.08813, 2020-2039, cesm1_cam5, May Anomaly, NPL
-0.6841, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-0.1488, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.2283, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
0.13622, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
0.04279, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
0.00152, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.001, 2020-2039, cmcc_cesm, Feb Anomaly, NPL
0.38935, 2020-2039, cmcc_cesm, Mar Anomaly, NPL
1.16981, 2020-2039, cmcc_cesm, Apr Anomaly, NPL
1.91704, 2020-2039, cmcc_cesm, May Anomaly, NPL
2.28349, 2020-2039, cmcc_cesm, Jun Anomaly, NPL
0.59259, 2020-2039, cmcc_cesm, Jul Anomaly, NPL
0.82487, 2020-2039, cmcc_cesm, Aug Anomaly, NPL
0.73944, 2020-2039, cmcc_cesm, Sep Anomaly, NPL
0.07287, 2020-2039, cmcc_cesm, Oct Anomaly, NPL
2.0E-4, 2020-2039, cmcc_cm, Feb Anomaly, NPL
0.37843, 2020-2039, cmcc_cm, Mar Anomaly, NPL
1.40913, 2020-2039, cmcc_cm, Apr Anomaly, NPL
1.52953, 2020-2039, cmcc_cm, May Anomaly, NPL
0.87863, 2020-2039, cmcc_cm, Jun Anomaly, NPL
1.06438, 2020-2039, cmcc_cm, Jul Anomaly, NPL
0.43223, 2020-2039, cmcc_cm, Aug Anomaly, NPL
0.19079, 2020-2039, cmcc_cm, Sep Anomaly, NPL
0.00517, 2020-2039, cmcc_cm, Oct Anomaly, NPL
0.56587, 2020-2039, cmcc_cms, Mar Anomaly, NPL
1.81306, 2020-2039, cmcc_cms, Apr Anomaly, NPL
3.40742, 2020-2039, cmcc_cms, May Anomaly, NPL
2.39551, 2020-2039, cmcc_cms, Jun Anomaly, NPL
1.74642, 2020-2039, cmcc_cms, Jul Anomaly, NPL
0.77088, 2020-2039, cmcc_cms, Aug Anomaly, NPL
0.13207, 2020-2039, cmcc_cms, Sep Anomaly, NPL
-0.0068, 2020-2039, cmcc_cms, Oct Anomaly, NPL
-3.0E-4, 2020-2039, cmcc_cms, Nov Anomaly, NPL
0.00359, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
0.7121, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
1.55164, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
1.33317, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.36121, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.1883, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.0651, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.0065, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.01132, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.07245, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
1.07261, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
3.25231, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
1.10949, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
0.58593, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.68416, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
-0.3088, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.0317, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.00358, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
