Local time in Nepalgunj (airport),T,Po,P,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,34.4,740.9,754.1,-0.4,55,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,8,24.1,,
03.06.2021 08:45,30.2,741.3,754.5,2,79,Wind blowing from the east-northeast,2,"10%  or less, but not 0",23.9,,no clouds,"2500 or more, or no clouds.",10,26.2,No precipitation,24
03.06.2021 05:45,24.2,739.3,752.4,,96,Wind blowing from the east-northeast,2,20–30%.,,,no clouds,"2500 or more, or no clouds.",10,23.6,,
02.06.2021 17:45,35,738.1,751.2,-1.2,64,Wind blowing from the south-southwest,2,20–30%.,,35.2,20–30%.,300-600,10,27.2,No precipitation,9
02.06.2021 14:45,33.6,739.3,752.5,-0.9,65,Wind blowing from the south-southeast,3,40%.,,,40%.,300-600,10,26.2,,
02.06.2021 11:45,33,740.2,753.5,0.6,67,Wind blowing from the west,2,20–30%.,,,20–30%.,600-1000,8,26.1,,
02.06.2021 08:45,28.8,739.6,752.8,,81,Wind blowing from the north-east,1,no clouds,23,,,,10,25.3,22,24
01.06.2021 17:45,32,737.8,751.3,0.3,63,Wind blowing from the west-southwest,3,no clouds,,32.3,,,10,24.2,22,9
01.06.2021 14:45,31,737.5,750.7,-1.8,60,Wind blowing from the south-southeast,2,20–30%.,,,20–30%.,2000-2500,10,22.4,,
01.06.2021 11:45,21.6,739.3,752.6,-1,100,Wind blowing from the east,4,100%.,,,50%.,600-1000,8,21.6,,
01.06.2021 08:45,21.4,740.3,753.6,1.9,100,,,,21,,40%.,200-300,4,21.4,16,24
01.06.2021 05:45,26.6,738.4,751.4,,94,Wind blowing from the east-southeast,2,70 – 80%.,,,40%.,300-600,8,25.5,,
31.05.2021 17:45,34,735.6,748.6,-0.8,63,"Calm, no wind",0,20–30%.,,35.2,20–30%.,300-600,8,26.1,No precipitation,9
31.05.2021 14:45,34.4,736.4,749.5,-2.1,62,Wind blowing from the north-northwest,2,no clouds,,,,,8,26,,
31.05.2021 11:45,30.1,738.5,751.6,-0.1,83,Wind blowing from the south-west,3,40%.,,,20–30%.,300-600,8,26.8,,
31.05.2021 08:45,29.2,738.6,751.6,1.3,84,,,,25,,20–30%.,2000-2500,8,26.3,No precipitation,24
31.05.2021 05:45,25.2,737.3,750.6,,95,Wind blowing from the south,1,20–30%.,,,20–30%.,2000-2500,8,24.4,,
30.05.2021 17:45,34.2,737.2,750.4,-1.1,67,Wind blowing from the south,2,no clouds,,34.6,,,8,27.2,No precipitation,9
30.05.2021 14:45,33.8,738.3,751.6,-1.9,45,Wind blowing from the west-northwest,2,40%.,,,20–30%.,300-600,8,20.3,,
30.05.2021 11:45,29.4,740.2,753.7,0,78,,,,,,40%.,600-1000,10,25.1,,
30.05.2021 08:45,26.4,740.2,753.7,0.3,86,,,,23.9,,40%.,300-600,10,23.9,17,24
30.05.2021 05:45,24.4,739.9,753.4,,97,Wind blowing from the south,1,70 – 80%.,,,40%.,300-600,10,23.9,,
29.05.2021 17:45,24.4,739.8,753.3,-1.5,97,Wind blowing from the west,3,100%.,,24.5,50%.,200-300,7,23.9,17,9
29.05.2021 14:45,24.2,741.3,754.8,-0.7,94,"Calm, no wind",0,100%.,,,50%.,200-300,7,23.1,,
29.05.2021 11:45,23.4,742,755.5,0.8,96,Wind blowing from the east-southeast,2,100%.,,,50%.,600-1000,6,22.8,,
29.05.2021 08:45,23.4,741.2,754.6,1.3,98,,,,23.2,,50%.,200-300,6,23.1,9,24
29.05.2021 05:45,23.4,739.9,753.2,,98,,,,,,50%.,200-300,5,23.1,,
28.05.2021 17:45,26.8,738.3,751.6,-0.7,85,Wind blowing from the west,3,100%.,,27.3,50%.,300-600,8,24.1,2,9
28.05.2021 14:45,27,739,752.2,-0.4,85,"Calm, no wind",0,100%.,,,50%.,600-1000,8,24.3,,
28.05.2021 11:45,26.2,739.4,752.6,1.5,91,Wind blowing from the south,2,100%.,,,50%.,600-1000,8,24.6,,
28.05.2021 08:45,25.6,737.9,751.1,0.7,91,"Calm, no wind",0,"90  or more, but not 100%",23.2,,50%.,300-600,10,24,6,24
28.05.2021 05:45,24.2,737.2,750.3,,92,Wind blowing from the north-west,3,"90  or more, but not 100%",,,50%.,300-600,10,22.8,,
27.05.2021 17:45,26,738,751.1,-1,91,Wind blowing from the south,2,70 – 80%.,,31.2,40%.,300-600,8,24.4,2,9
27.05.2021 14:45,26.4,739,752,-0.3,82,Wind blowing from the south-southeast,3,"90  or more, but not 100%",,,50%.,600-1000,8,23.1,,
27.05.2021 11:45,29.4,739.3,752.4,0.5,73,,,,,,50%.,600-1000,8,24,,
27.05.2021 08:45,29.8,738.8,751.9,2.5,75,Wind blowing from the south-east,2,60%.,25.9,,40%.,300-600,8,25,No precipitation,24
27.05.2021 05:45,26.6,736.3,749.4,,84,Wind blowing from the south-east,2,50%.,,,20–30%.,600-1000,8,23.6,,
26.05.2021 17:45,35.8,734,747.1,-2.1,54,Wind blowing from the west-northwest,2,20–30%.,,35.8,20–30%.,300-600,8,25.2,No precipitation,9
26.05.2021 14:45,34.6,736.1,749.3,-1.4,56,Wind blowing from the south-southeast,2,40%.,,,40%.,300-600,8,24.7,,
26.05.2021 11:45,33.6,737.5,750.5,0.3,63,Wind blowing from the west,3,50%.,,,50%.,300-600,8,25.6,,
26.05.2021 08:45,30.2,737.2,750.3,0.7,76,,,,24.2,,,"2500 or more, or no clouds.",8,25.4,Trace of precipitation,24
26.05.2021 05:45,24.4,736.5,749.7,,95,"Calm, no wind",0,20–30%.,,,no clouds,"2500 or more, or no clouds.",8,23.6,,
25.05.2021 17:45,32,736,749.2,-0.3,60,Wind blowing from the east,3,50%.,,37.6,20–30%.,100-200,7,23.3,Trace of precipitation,9
25.05.2021 14:45,37,736.3,749.5,,49,Wind blowing from the south-southeast,3,20–30%.,,,20–30%.,300-600,8,24.5,,
