Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,30.5,699.3,754.3,-0.1,57,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,8,20.9,,
03.06.2021 08:45,27.2,699.4,754.4,0.9,73,Wind blowing from the east-southeast,1,"10%  or less, but not 0",21.5,,"10%  or less, but not 0",300-600,8,22,No precipitation,24
03.06.2021 05:45,21.6,698.5,753.7,,92,"Calm, no wind",0,no clouds,,,,,6,20.2,,
02.06.2021 17:45,30.6,697.3,752,-0.3,62,Wind blowing from the west,2,50%.,,31.7,20–30%.,300-600,8,22.4,No precipitation,9
02.06.2021 14:45,30.6,697.6,752.2,-0.7,64,Wind blowing from the east,1,60%.,,,40%.,300-600,10,23,,
02.06.2021 11:45,29.6,698.3,753.5,0.1,67,Wind blowing from the south,1,50%.,,,20–30%.,300-600,8,22.8,,
02.06.2021 08:45,25.4,698.2,753.4,,78,Wind blowing from the south,1,no clouds,20.2,,,,8,21.2,12,24
01.06.2021 17:45,29.8,696.7,751.9,-0.1,63,Wind blowing from the west,1,"10%  or less, but not 0",,31.2,no clouds,"2500 or more, or no clouds.",8,22.1,12,9
01.06.2021 14:45,28.4,696.8,752.2,-3.8,54,Wind blowing from the east,1,40%.,,,"10%  or less, but not 0",300-600,8,18.3,,
01.06.2021 11:45,20.8,700.6,755.7,3.1,92,Wind blowing from the north,1,100%.,,,50%.,300-600,5,19.4,,
01.06.2021 08:45,27,697.5,752.5,0.5,77,,,,21.6,,40%.,300-600,8,22.6,5,24
01.06.2021 05:45,22.4,697,752.1,,92,Wind blowing from the north,1,70 – 80%.,,,40%.,300-600,6,21,,
31.05.2021 17:45,30.4,695.4,750.1,-0.3,67,Wind blowing from the south,1,40%.,,31.4,20–30%.,300-600,7,23.7,Trace of precipitation,9
31.05.2021 14:45,30.6,695.7,750.4,-1,73,Wind blowing from the west-southwest,1,50%.,,,40%.,300-600,8,25.3,,
31.05.2021 11:45,28.4,696.7,751.7,-0.2,72,Wind blowing from the west,4,"90  or more, but not 100%",,,50%.,300-600,7,22.8,,
31.05.2021 08:45,27,696.9,751.9,0.1,80,,,,22.7,,40%.,300-600,7,23.2,Trace of precipitation,24
31.05.2021 05:45,22.8,696.8,752,,95,"Calm, no wind",0,no clouds,,,,,6,22,,
30.05.2021 17:45,30.6,696.7,751.6,-1.2,63,Wind blowing from the south,1,"10%  or less, but not 0",,30.6,"10%  or less, but not 0",300-600,10,22.7,Trace of precipitation,9
30.05.2021 14:45,29.4,697.9,752.8,-0.5,68,Wind blowing from the east-southeast,1,50%.,,,20–30%.,300-600,10,22.9,,
30.05.2021 11:45,29.4,698.4,754.4,-0.4,66,,,,,,50%.,300-600,8,22.3,,
30.05.2021 08:45,24.4,698.8,754.8,0.4,84,,,,20.6,,40%.,300-600,8,21.6,7,24
