RAINFALL,YEAR,MONTH_STATISTICS,COUNTRY,ISO3
38.1,1961, Jan Average, Nepal, NPL
57,1961, Feb Average, Nepal, NPL
21.8,1961, Mar Average, Nepal, NPL
21.2,1961, Apr Average, Nepal, NPL
59.1,1961, May Average, Nepal, NPL
270.7,1961, Jun Average, Nepal, NPL
288.9,1961, Jul Average, Nepal, NPL
396.4,1961, Aug Average, Nepal, NPL
170.8,1961, Sep Average, Nepal, NPL
131,1961, Oct Average, Nepal, NPL
4.5,1961, Nov Average, Nepal, NPL
20.4,1961, Dec Average, Nepal, NPL
54.8,1962, Jan Average, Nepal, NPL
53.7,1962, Feb Average, Nepal, NPL
47.8,1962, Mar Average, Nepal, NPL
69.6,1962, Apr Average, Nepal, NPL
85,1962, May Average, Nepal, NPL
262.2,1962, Jun Average, Nepal, NPL
406.4,1962, Jul Average, Nepal, NPL
400.4,1962, Aug Average, Nepal, NPL
234.4,1962, Sep Average, Nepal, NPL
17.3,1962, Oct Average, Nepal, NPL
0.6,1962, Nov Average, Nepal, NPL
8.4,1962, Dec Average, Nepal, NPL
7.8,1963, Jan Average, Nepal, NPL
13.7,1963, Feb Average, Nepal, NPL
82.9,1963, Mar Average, Nepal, NPL
66,1963, Apr Average, Nepal, NPL
87.1,1963, May Average, Nepal, NPL
209.6,1963, Jun Average, Nepal, NPL
375.1,1963, Jul Average, Nepal, NPL
349.6,1963, Aug Average, Nepal, NPL
210.4,1963, Sep Average, Nepal, NPL
52.9,1963, Oct Average, Nepal, NPL
37,1963, Nov Average, Nepal, NPL
12.4,1963, Dec Average, Nepal, NPL
5.9,1964, Jan Average, Nepal, NPL
8.9,1964, Feb Average, Nepal, NPL
14.6,1964, Mar Average, Nepal, NPL
58.9,1964, Apr Average, Nepal, NPL
94.4,1964, May Average, Nepal, NPL
134,1964, Jun Average, Nepal, NPL
506.1,1964, Jul Average, Nepal, NPL
254.5,1964, Aug Average, Nepal, NPL
214.8,1964, Sep Average, Nepal, NPL
27.9,1964, Oct Average, Nepal, NPL
2.1,1964, Nov Average, Nepal, NPL
12,1964, Dec Average, Nepal, NPL
11.9,1965, Jan Average, Nepal, NPL
27.4,1965, Feb Average, Nepal, NPL
50.8,1965, Mar Average, Nepal, NPL
32.3,1965, Apr Average, Nepal, NPL
37.4,1965, May Average, Nepal, NPL
178.5,1965, Jun Average, Nepal, NPL
422.6,1965, Jul Average, Nepal, NPL
351.2,1965, Aug Average, Nepal, NPL
117.5,1965, Sep Average, Nepal, NPL
55,1965, Oct Average, Nepal, NPL
27.7,1965, Nov Average, Nepal, NPL
0.6,1965, Dec Average, Nepal, NPL
26.5,1966, Jan Average, Nepal, NPL
31.4,1966, Feb Average, Nepal, NPL
2.7,1966, Mar Average, Nepal, NPL
13.4,1966, Apr Average, Nepal, NPL
67.5,1966, May Average, Nepal, NPL
141.5,1966, Jun Average, Nepal, NPL
407.6,1966, Jul Average, Nepal, NPL
344.6,1966, Aug Average, Nepal, NPL
122.6,1966, Sep Average, Nepal, NPL
22.7,1966, Oct Average, Nepal, NPL
5.2,1966, Nov Average, Nepal, NPL
10.5,1966, Dec Average, Nepal, NPL
20.7,1967, Jan Average, Nepal, NPL
14.6,1967, Feb Average, Nepal, NPL
49.3,1967, Mar Average, Nepal, NPL
45.1,1967, Apr Average, Nepal, NPL
59.3,1967, May Average, Nepal, NPL
157.2,1967, Jun Average, Nepal, NPL
307.9,1967, Jul Average, Nepal, NPL
335.3,1967, Aug Average, Nepal, NPL
218.9,1967, Sep Average, Nepal, NPL
19.2,1967, Oct Average, Nepal, NPL
1.7,1967, Nov Average, Nepal, NPL
6.6,1967, Dec Average, Nepal, NPL
48.4,1968, Jan Average, Nepal, NPL
14.9,1968, Feb Average, Nepal, NPL
52.8,1968, Mar Average, Nepal, NPL
35.3,1968, Apr Average, Nepal, NPL
40.3,1968, May Average, Nepal, NPL
258.2,1968, Jun Average, Nepal, NPL
334,1968, Jul Average, Nepal, NPL
296.6,1968, Aug Average, Nepal, NPL
193.1,1968, Sep Average, Nepal, NPL
117.9,1968, Oct Average, Nepal, NPL
4.4,1968, Nov Average, Nepal, NPL
6.7,1968, Dec Average, Nepal, NPL
9.2,1969, Jan Average, Nepal, NPL
6.8,1969, Feb Average, Nepal, NPL
50.1,1969, Mar Average, Nepal, NPL
73.6,1969, Apr Average, Nepal, NPL
50.1,1969, May Average, Nepal, NPL
168.8,1969, Jun Average, Nepal, NPL
395.2,1969, Jul Average, Nepal, NPL
252.6,1969, Aug Average, Nepal, NPL
199.7,1969, Sep Average, Nepal, NPL
10.6,1969, Oct Average, Nepal, NPL
6.6,1969, Nov Average, Nepal, NPL
5.6,1969, Dec Average, Nepal, NPL
29,1970, Jan Average, Nepal, NPL
37.5,1970, Feb Average, Nepal, NPL
30.6,1970, Mar Average, Nepal, NPL
23.2,1970, Apr Average, Nepal, NPL
120.1,1970, May Average, Nepal, NPL
249,1970, Jun Average, Nepal, NPL
379.9,1970, Jul Average, Nepal, NPL
294,1970, Aug Average, Nepal, NPL
199.7,1970, Sep Average, Nepal, NPL
46.4,1970, Oct Average, Nepal, NPL
3.5,1970, Nov Average, Nepal, NPL
3,1970, Dec Average, Nepal, NPL
11.5,1971, Jan Average, Nepal, NPL
27.8,1971, Feb Average, Nepal, NPL
28.6,1971, Mar Average, Nepal, NPL
157.7,1971, Apr Average, Nepal, NPL
138.8,1971, May Average, Nepal, NPL
357.2,1971, Jun Average, Nepal, NPL
308.7,1971, Jul Average, Nepal, NPL
312.1,1971, Aug Average, Nepal, NPL
170.9,1971, Sep Average, Nepal, NPL
140.9,1971, Oct Average, Nepal, NPL
14.6,1971, Nov Average, Nepal, NPL
0.3,1971, Dec Average, Nepal, NPL
6.9,1972, Jan Average, Nepal, NPL
43.9,1972, Feb Average, Nepal, NPL
30,1972, Mar Average, Nepal, NPL
38.1,1972, Apr Average, Nepal, NPL
56.4,1972, May Average, Nepal, NPL
208.4,1972, Jun Average, Nepal, NPL
315.3,1972, Jul Average, Nepal, NPL
208.4,1972, Aug Average, Nepal, NPL
260.2,1972, Sep Average, Nepal, NPL
56.2,1972, Oct Average, Nepal, NPL
17.9,1972, Nov Average, Nepal, NPL
2.1,1972, Dec Average, Nepal, NPL
52.1,1973, Jan Average, Nepal, NPL
48.2,1973, Feb Average, Nepal, NPL
41.9,1973, Mar Average, Nepal, NPL
19.4,1973, Apr Average, Nepal, NPL
111.2,1973, May Average, Nepal, NPL
323.1,1973, Jun Average, Nepal, NPL
253.2,1973, Jul Average, Nepal, NPL
297.5,1973, Aug Average, Nepal, NPL
249.7,1973, Sep Average, Nepal, NPL
193.8,1973, Oct Average, Nepal, NPL
13.3,1973, Nov Average, Nepal, NPL
0.1,1973, Dec Average, Nepal, NPL
19.3,1974, Jan Average, Nepal, NPL
14.7,1974, Feb Average, Nepal, NPL
33.2,1974, Mar Average, Nepal, NPL
38.5,1974, Apr Average, Nepal, NPL
90.9,1974, May Average, Nepal, NPL
176.5,1974, Jun Average, Nepal, NPL
424.2,1974, Jul Average, Nepal, NPL
352.2,1974, Aug Average, Nepal, NPL
200.2,1974, Sep Average, Nepal, NPL
50.3,1974, Oct Average, Nepal, NPL
1.2,1974, Nov Average, Nepal, NPL
15.5,1974, Dec Average, Nepal, NPL
41.8,1975, Jan Average, Nepal, NPL
34.8,1975, Feb Average, Nepal, NPL
28.9,1975, Mar Average, Nepal, NPL
25.4,1975, Apr Average, Nepal, NPL
89.1,1975, May Average, Nepal, NPL
337.4,1975, Jun Average, Nepal, NPL
340.9,1975, Jul Average, Nepal, NPL
279.4,1975, Aug Average, Nepal, NPL
297.7,1975, Sep Average, Nepal, NPL
66.3,1975, Oct Average, Nepal, NPL
0,1975, Nov Average, Nepal, NPL
0.4,1975, Dec Average, Nepal, NPL
16.5,1976, Jan Average, Nepal, NPL
30.5,1976, Feb Average, Nepal, NPL
5.5,1976, Mar Average, Nepal, NPL
46.5,1976, Apr Average, Nepal, NPL
124.4,1976, May Average, Nepal, NPL
240.5,1976, Jun Average, Nepal, NPL
302.6,1976, Jul Average, Nepal, NPL
334.4,1976, Aug Average, Nepal, NPL
181.7,1976, Sep Average, Nepal, NPL
