Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
0.0708, 2040-2059, access1_0, Annual Anomaly, NPL
0.1274, 2040-2059, access1_3, Annual Anomaly, NPL
0.0475, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.04398, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
-0.0101, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.11744, 2040-2059, canesm2, Annual Anomaly, NPL
0.09605, 2040-2059, ccsm4, Annual Anomaly, NPL
0.02328, 2040-2059, cesm1_bgc, Annual Anomaly, NPL
0.02341, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-7.0E-4, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.06746, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.09467, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
0.04247, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
-0.0646, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.03765, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
0.06252, 2040-2059, hadgem2_cc, Annual Anomaly, NPL
0.05217, 2040-2059, inmcm4, Annual Anomaly, NPL
0.13268, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.06581, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
0.03942, 2040-2059, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0232, 2040-2059, miroc5, Annual Anomaly, NPL
0.03821, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
-0.0092, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.12193, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
0.03767, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
0.06679, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
0.01592, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.3003, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.07474, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.30014, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
