Rainfall Seasonality - (Standard Deviation), Year, Model, Statistics, ISO3
-6.0E-4, 2040-2059, bcc_csm1_1_m, Annual Anomaly, NPL
0.01618, 2040-2059, bcc_csm1_1, Annual Anomaly, NPL
0.06112, 2040-2059, bnu_esm, Annual Anomaly, NPL
0.09186, 2040-2059, canesm2, Annual Anomaly, NPL
0.05229, 2040-2059, ccsm4, Annual Anomaly, NPL
-0.0171, 2040-2059, cesm1_cam5, Annual Anomaly, NPL
-0.0503, 2040-2059, cnrm_cm5, Annual Anomaly, NPL
0.12685, 2040-2059, csiro_mk3_6_0, Annual Anomaly, NPL
0.10033, 2040-2059, gfdl_cm3, Annual Anomaly, NPL
-0.0455, 2040-2059, gfdl_esm2g, Annual Anomaly, NPL
0.00491, 2040-2059, gfdl_esm2m, Annual Anomaly, NPL
0.03842, 2040-2059, hadgem2_ao, Annual Anomaly, NPL
-0.0023, 2040-2059, hadgem2_es, Annual Anomaly, NPL
0.10341, 2040-2059, ipsl_cm5a_lr, Annual Anomaly, NPL
0.02512, 2040-2059, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.008, 2040-2059, miroc5, Annual Anomaly, NPL
0.08181, 2040-2059, miroc_esm_chem, Annual Anomaly, NPL
0.03246, 2040-2059, miroc_esm, Annual Anomaly, NPL
0.02462, 2040-2059, mpi_esm_lr, Annual Anomaly, NPL
-0.0375, 2040-2059, mpi_esm_mr, Annual Anomaly, NPL
-0.024, 2040-2059, mri_cgcm3, Annual Anomaly, NPL
-0.0175, 2040-2059, noresm1_m, Annual Anomaly, NPL
-0.2668, 2040-2059, Ensemble (10th Percentile), Annual Anomaly, NPL
0.09139, 2040-2059, Ensemble (50th Percentile), Annual Anomaly, NPL
0.30053, 2040-2059, Ensemble (90th Percentile), Annual Anomaly, NPL
