Monthly Temperature - (Celsius), Year, Model, Statistics, Country, ISO3
4.4418607, 2020-2039, bcc_csm1_1, Jan Average, Nepal, NPL
6.636458, 2020-2039, bcc_csm1_1, Feb Average, Nepal, NPL
12.332909, 2020-2039, bcc_csm1_1, Mar Average, Nepal, NPL
17.771946, 2020-2039, bcc_csm1_1, Apr Average, Nepal, NPL
22.90167, 2020-2039, bcc_csm1_1, May Average, Nepal, NPL
26.144365, 2020-2039, bcc_csm1_1, Jun Average, Nepal, NPL
24.390379, 2020-2039, bcc_csm1_1, Jul Average, Nepal, NPL
22.363918, 2020-2039, bcc_csm1_1, Aug Average, Nepal, NPL
20.687716, 2020-2039, bcc_csm1_1, Sep Average, Nepal, NPL
17.210505, 2020-2039, bcc_csm1_1, Oct Average, Nepal, NPL
11.6652565, 2020-2039, bcc_csm1_1, Nov Average, Nepal, NPL
5.546116, 2020-2039, bcc_csm1_1, Dec Average, Nepal, NPL
11.57898, 2020-2039, bcc_csm1_1_m, Jan Average, Nepal, NPL
13.943294, 2020-2039, bcc_csm1_1_m, Feb Average, Nepal, NPL
18.933146, 2020-2039, bcc_csm1_1_m, Mar Average, Nepal, NPL
24.878462, 2020-2039, bcc_csm1_1_m, Apr Average, Nepal, NPL
29.440775, 2020-2039, bcc_csm1_1_m, May Average, Nepal, NPL
29.925108, 2020-2039, bcc_csm1_1_m, Jun Average, Nepal, NPL
27.261957, 2020-2039, bcc_csm1_1_m, Jul Average, Nepal, NPL
25.554941, 2020-2039, bcc_csm1_1_m, Aug Average, Nepal, NPL
24.754591, 2020-2039, bcc_csm1_1_m, Sep Average, Nepal, NPL
22.933071, 2020-2039, bcc_csm1_1_m, Oct Average, Nepal, NPL
17.582634, 2020-2039, bcc_csm1_1_m, Nov Average, Nepal, NPL
13.600891, 2020-2039, bcc_csm1_1_m, Dec Average, Nepal, NPL
11.633888, 2020-2039, ccsm4, Jan Average, Nepal, NPL
13.779588, 2020-2039, ccsm4, Feb Average, Nepal, NPL
18.869167, 2020-2039, ccsm4, Mar Average, Nepal, NPL
25.465202, 2020-2039, ccsm4, Apr Average, Nepal, NPL
29.791166, 2020-2039, ccsm4, May Average, Nepal, NPL
28.640266, 2020-2039, ccsm4, Jun Average, Nepal, NPL
26.34093, 2020-2039, ccsm4, Jul Average, Nepal, NPL
25.753906, 2020-2039, ccsm4, Aug Average, Nepal, NPL
24.560719, 2020-2039, ccsm4, Sep Average, Nepal, NPL
20.803156, 2020-2039, ccsm4, Oct Average, Nepal, NPL
16.469213, 2020-2039, ccsm4, Nov Average, Nepal, NPL
13.1010065, 2020-2039, ccsm4, Dec Average, Nepal, NPL
10.435705, 2020-2039, cesm1_cam5, Jan Average, Nepal, NPL
13.817959, 2020-2039, cesm1_cam5, Feb Average, Nepal, NPL
19.462814, 2020-2039, cesm1_cam5, Mar Average, Nepal, NPL
25.359528, 2020-2039, cesm1_cam5, Apr Average, Nepal, NPL
26.661192, 2020-2039, cesm1_cam5, May Average, Nepal, NPL
26.896929, 2020-2039, cesm1_cam5, Jun Average, Nepal, NPL
25.577417, 2020-2039, cesm1_cam5, Jul Average, Nepal, NPL
24.7096, 2020-2039, cesm1_cam5, Aug Average, Nepal, NPL
23.96932, 2020-2039, cesm1_cam5, Sep Average, Nepal, NPL
20.93876, 2020-2039, cesm1_cam5, Oct Average, Nepal, NPL
15.60152, 2020-2039, cesm1_cam5, Nov Average, Nepal, NPL
11.56799, 2020-2039, cesm1_cam5, Dec Average, Nepal, NPL
7.104185, 2020-2039, csiro_mk3_6_0, Jan Average, Nepal, NPL
9.831803, 2020-2039, csiro_mk3_6_0, Feb Average, Nepal, NPL
15.218102, 2020-2039, csiro_mk3_6_0, Mar Average, Nepal, NPL
21.296354, 2020-2039, csiro_mk3_6_0, Apr Average, Nepal, NPL
26.543226, 2020-2039, csiro_mk3_6_0, May Average, Nepal, NPL
