Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.03612, 2080-2099, access1_3, Annual Anomaly, NPL
0.096, 2080-2099, bcc_csm1_1_m, Annual Anomaly, NPL
0.07497, 2080-2099, bcc_csm1_1, Annual Anomaly, NPL
0.04361, 2080-2099, bnu_esm, Annual Anomaly, NPL
0.13548, 2080-2099, canesm2, Annual Anomaly, NPL
0.00762, 2080-2099, ccsm4, Annual Anomaly, NPL
0.07966, 2080-2099, cesm1_bgc, Annual Anomaly, NPL
-0.0698, 2080-2099, cesm1_cam5, Annual Anomaly, NPL
0.79099, 2080-2099, cmcc_cesm, Annual Anomaly, NPL
0.27118, 2080-2099, cmcc_cm, Annual Anomaly, NPL
0.46598, 2080-2099, cmcc_cms, Annual Anomaly, NPL
0.0422, 2080-2099, cnrm_cm5, Annual Anomaly, NPL
0.06005, 2080-2099, csiro_mk3_6_0, Annual Anomaly, NPL
0.04879, 2080-2099, gfdl_cm3, Annual Anomaly, NPL
0.09555, 2080-2099, gfdl_esm2g, Annual Anomaly, NPL
0.19835, 2080-2099, gfdl_esm2m, Annual Anomaly, NPL
-0.0137, 2080-2099, inmcm4, Annual Anomaly, NPL
0.25409, 2080-2099, ipsl_cm5a_lr, Annual Anomaly, NPL
0.04096, 2080-2099, ipsl_cm5a_mr, Annual Anomaly, NPL
-0.0061, 2080-2099, ipsl_cm5b_lr, Annual Anomaly, NPL
-0.0329, 2080-2099, miroc5, Annual Anomaly, NPL
0.41745, 2080-2099, miroc_esm_chem, Annual Anomaly, NPL
0.34678, 2080-2099, miroc_esm, Annual Anomaly, NPL
0.31184, 2080-2099, mpi_esm_mr, Annual Anomaly, NPL
0.15511, 2080-2099, mri_cgcm3, Annual Anomaly, NPL
0.02258, 2080-2099, mri_esm1, Annual Anomaly, NPL
-0.0019, 2080-2099, noresm1_m, Annual Anomaly, NPL
-0.0268, 2080-2099, Ensemble (10th Percentile), Annual Anomaly, NPL
0.08892, 2080-2099, Ensemble (50th Percentile), Annual Anomaly, NPL
0.5237, 2080-2099, Ensemble (90th Percentile), Annual Anomaly, NPL
