Expected Daily Rainfall Maximum in 25 Years (25-yr Return Level) - (MM), Year, Model, Statistics, ISO3
23.0327, 2060-2079, access1_0, Annual Anomaly, NPL
21.3978, 2060-2079, access1_3, Annual Anomaly, NPL
49.6477, 2060-2079, bcc_csm1_1_m, Annual Anomaly, NPL
23.9652, 2060-2079, bcc_csm1_1, Annual Anomaly, NPL
16.0509, 2060-2079, bnu_esm, Annual Anomaly, NPL
33.5398, 2060-2079, canesm2, Annual Anomaly, NPL
62.485, 2060-2079, ccsm4, Annual Anomaly, NPL
26.526, 2060-2079, cesm1_bgc, Annual Anomaly, NPL
116.231, 2060-2079, cesm1_cam5, Annual Anomaly, NPL
-19.659, 2060-2079, cnrm_cm5, Annual Anomaly, NPL
5.0016, 2060-2079, csiro_mk3_6_0, Annual Anomaly, NPL
16.6185, 2060-2079, hadgem2_ao, Annual Anomaly, NPL
17.1722, 2060-2079, hadgem2_cc, Annual Anomaly, NPL
5.47738, 2060-2079, inmcm4, Annual Anomaly, NPL
14.4006, 2060-2079, ipsl_cm5a_lr, Annual Anomaly, NPL
23.8763, 2060-2079, ipsl_cm5a_mr, Annual Anomaly, NPL
8.07123, 2060-2079, ipsl_cm5b_lr, Annual Anomaly, NPL
33.7346, 2060-2079, miroc5, Annual Anomaly, NPL
15.1888, 2060-2079, miroc_esm_chem, Annual Anomaly, NPL
10.6668, 2060-2079, miroc_esm, Annual Anomaly, NPL
19.328, 2060-2079, mpi_esm_lr, Annual Anomaly, NPL
14.4983, 2060-2079, mpi_esm_mr, Annual Anomaly, NPL
8.81757, 2060-2079, mri_cgcm3, Annual Anomaly, NPL
27.149, 2060-2079, noresm1_m, Annual Anomaly, NPL
-48.467, 2060-2079, Ensemble (10th Percentile), Annual Anomaly, NPL
13.5366, 2060-2079, Ensemble (50th Percentile), Annual Anomaly, NPL
189.735, 2060-2079, Ensemble (90th Percentile), Annual Anomaly, NPL
