FID,id_punto,mes,mes_etiqueta,n_period,period,etp_normal,geom
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7607,40346,8,8,30,1950,86.3,POINT (9545646.335523209 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7608,40347,8,8,30,1950,90.5,POINT (9601306.080919845 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7609,40348,8,8,30,1950,90.8,POINT (9656965.826316481 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760a,40349,8,8,30,1950,89.3,POINT (9712625.57171312 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760b,40350,8,8,30,1950,84.39,POINT (9768285.317109756 3535725.659799159)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760c,42530,8,8,30,1950,117.9,POINT (8933389.136160204 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760d,42531,8,8,30,1950,113,POINT (8989048.88155684 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760e,42532,8,8,30,1950,110.3,POINT (9044708.626953477 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_760f,42533,8,8,30,1950,111.2,POINT (9100368.372350115 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7610,42534,8,8,30,1950,110.19,POINT (9156028.117746752 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7611,42535,8,8,30,1950,109.2,POINT (9211687.863143386 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7612,42536,8,8,30,1950,107.19,POINT (9267347.608540025 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7613,42537,8,8,30,1950,107.3,POINT (9323007.353936663 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7614,42538,8,8,30,1950,107.9,POINT (9378667.099333297 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7615,42539,8,8,30,1950,107.7,POINT (9434326.844729934 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7616,42540,8,8,30,1950,107.4,POINT (9489986.590126572 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7617,42541,8,8,30,1950,105.39,POINT (9545646.335523209 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7618,42542,8,8,30,1950,103.4,POINT (9601306.080919845 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_7619,42543,8,8,30,1950,91.8,POINT (9656965.826316481 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_761a,42544,8,8,30,1950,91.8,POINT (9712625.57171312 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_761b,42545,8,8,30,1950,87.69,POINT (9768285.317109756 3092272.122885534)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_761c,40981,8,8,30,1950,100.5,POINT (8933389.136160204 3407504.076175717)
etp_normales_espacial_p.fid--5ff12b53_17a3c47e6b4_761d,40982,8,8,30,1950,90.99,POINT (8989048.88155684 3407504.076175717)
