Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.0889, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0312, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.0436, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.197, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.1076, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.1749, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2043, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-0.1611, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-0.2976, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.3963, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.1362, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.3647, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.0787, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.3492, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.073, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.1018, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.1445, 2060-2079, ccsm4, May Anomaly, NPL
-0.2593, 2060-2079, ccsm4, Jun Anomaly, NPL
-0.2131, 2060-2079, ccsm4, Jul Anomaly, NPL
-0.0858, 2060-2079, ccsm4, Aug Anomaly, NPL
-0.2248, 2060-2079, ccsm4, Sep Anomaly, NPL
-0.5002, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.1079, 2060-2079, ccsm4, Nov Anomaly, NPL
-0.2387, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.2866, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-0.5039, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-0.0887, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-0.1131, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.2057, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.1065, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-0.0442, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-0.0176, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-0.1567, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
-0.4238, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.321, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-0.447, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-0.3053, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-0.4792, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.2942, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.3428, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.1277, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.3327, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.3015, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
-0.49, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
-0.2867, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4827, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-0.3629, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-0.2142, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
-0.203, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.0814, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
-0.1072, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-0.0427, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.0418, 2060-2079, gfdl_cm3, May Anomaly, NPL
-0.1626, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
-0.4266, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
-0.1797, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
-0.3207, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
-0.1808, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-0.288, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-0.1119, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-0.2097, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-0.1123, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-0.0554, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-0.1922, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
0.10646, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.1079, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-0.1716, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-0.0379, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-0.1286, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-0.0907, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-0.3326, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.25352, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-0.3695, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
0.01798, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
-0.2068, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.2728, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-0.3822, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-0.1881, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-0.0864, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-0.0022, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-0.1879, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-0.1645, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-0.2893, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-0.737, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
-0.019, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-0.3304, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-0.0965, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-0.3749, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.4297, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.5315, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-0.1612, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
-0.4541, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
-0.0355, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
-0.1583, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-0.2635, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-0.123, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-0.2282, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-0.2673, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-0.0247, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.1106, 2060-2079, hadgem2_es, Apr Anomaly, NPL
-0.3115, 2060-2079, hadgem2_es, May Anomaly, NPL
-0.4206, 2060-2079, hadgem2_es, Jun Anomaly, NPL
-0.2178, 2060-2079, hadgem2_es, Jul Anomaly, NPL
-0.087, 2060-2079, hadgem2_es, Aug Anomaly, NPL
-0.1207, 2060-2079, hadgem2_es, Sep Anomaly, NPL
-0.1984, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-0.202, 2060-2079, hadgem2_es, Nov Anomaly, NPL
-0.0948, 2060-2079, hadgem2_es, Dec Anomaly, NPL
-0.1652, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
