Cold Spell Duration Index - (Days), Year, Model, Statistics, ISO3
-0.1735, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-0.1962, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-0.0686, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
-0.0632, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
-0.1401, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.03282, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-0.1322, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
-0.1062, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
-0.1801, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
-0.5226, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
0.06093, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-0.1831, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
-0.2596, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-0.4868, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.247, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.321, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
-0.1236, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.3327, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.2989, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.4895, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
-0.2673, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.4444, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-0.3424, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-0.2639, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
-0.1767, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
-0.0402, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
-0.0267, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.0242, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-0.0418, 2020-2039, gfdl_cm3, May Anomaly, NPL
-0.1626, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
-0.4266, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
-0.1754, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-0.1912, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.0738, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
-0.28, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-0.092, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
-0.0965, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
0.07122, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
-0.0158, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
0.24516, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-0.0485, 2020-2039, gfdl_esm2g, May Anomaly, NPL
-0.1022, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
-0.0695, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
0.05808, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-0.134, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-0.0031, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
-0.2911, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
-0.1991, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
0.28761, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
0.40233, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
0.10261, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
-0.042, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
-0.2718, 2020-2039, gfdl_esm2m, May Anomaly, NPL
-0.0795, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
0.29711, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
0.55005, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
-0.183, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
-0.0754, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-0.2766, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
-0.3258, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
-0.0936, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-0.3503, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
-0.0928, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
-0.3191, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
-0.4391, 2020-2039, hadgem2_ao, May Anomaly, NPL
-0.5338, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
-0.1612, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
-0.4541, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
-0.0355, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.1446, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
-0.2382, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
-0.1492, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
-0.15, 2020-2039, hadgem2_cc, Jan Anomaly, NPL
-0.1034, 2020-2039, hadgem2_cc, Feb Anomaly, NPL
0.03839, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
-0.1175, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
-0.1734, 2020-2039, hadgem2_cc, May Anomaly, NPL
-0.4223, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
-0.2892, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
-0.1151, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
-0.2586, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
-0.1998, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
-0.0722, 2020-2039, hadgem2_cc, Nov Anomaly, NPL
0.03268, 2020-2039, hadgem2_cc, Dec Anomaly, NPL
-0.2437, 2020-2039, inmcm4, Jan Anomaly, NPL
-0.1616, 2020-2039, inmcm4, Feb Anomaly, NPL
0.12537, 2020-2039, inmcm4, Mar Anomaly, NPL
-0.0061, 2020-2039, inmcm4, Apr Anomaly, NPL
0.04248, 2020-2039, inmcm4, May Anomaly, NPL
-0.1082, 2020-2039, inmcm4, Jun Anomaly, NPL
0.11497, 2020-2039, inmcm4, Jul Anomaly, NPL
-0.1153, 2020-2039, inmcm4, Aug Anomaly, NPL
-0.3041, 2020-2039, inmcm4, Sep Anomaly, NPL
-0.4575, 2020-2039, inmcm4, Oct Anomaly, NPL
-0.1043, 2020-2039, inmcm4, Nov Anomaly, NPL
0.85178, 2020-2039, inmcm4, Dec Anomaly, NPL
-0.003, 2020-2039, ipsl_cm5a_lr, Jan Anomaly, NPL
-0.1613, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
-0.0814, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.2781, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.1479, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
-0.4899, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
-0.6841, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
-0.2005, 2020-2039, ipsl_cm5a_lr, Aug Anomaly, NPL
-0.7082, 2020-2039, ipsl_cm5a_lr, Sep Anomaly, NPL
-0.3104, 2020-2039, ipsl_cm5a_lr, Oct Anomaly, NPL
-0.24, 2020-2039, ipsl_cm5a_lr, Nov Anomaly, NPL
-0.0951, 2020-2039, ipsl_cm5a_lr, Dec Anomaly, NPL
-0.0663, 2020-2039, ipsl_cm5a_mr, Jan Anomaly, NPL
-0.0941, 2020-2039, ipsl_cm5a_mr, Feb Anomaly, NPL
-0.1798, 2020-2039, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.0083, 2020-2039, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.307, 2020-2039, ipsl_cm5a_mr, May Anomaly, NPL
-0.0696, 2020-2039, ipsl_cm5a_mr, Jun Anomaly, NPL
-0.2736, 2020-2039, ipsl_cm5a_mr, Jul Anomaly, NPL
-0.1703, 2020-2039, ipsl_cm5a_mr, Aug Anomaly, NPL
-0.2109, 2020-2039, ipsl_cm5a_mr, Sep Anomaly, NPL
-0.3822, 2020-2039, ipsl_cm5a_mr, Oct Anomaly, NPL
-0.129, 2020-2039, ipsl_cm5a_mr, Nov Anomaly, NPL
-0.1059, 2020-2039, ipsl_cm5a_mr, Dec Anomaly, NPL
-0.2746, 2020-2039, ipsl_cm5b_lr, Jan Anomaly, NPL
-0.0761, 2020-2039, ipsl_cm5b_lr, Feb Anomaly, NPL
0.28462, 2020-2039, ipsl_cm5b_lr, Mar Anomaly, NPL
-0.0261, 2020-2039, ipsl_cm5b_lr, Apr Anomaly, NPL
0.00918, 2020-2039, ipsl_cm5b_lr, May Anomaly, NPL
-0.3611, 2020-2039, ipsl_cm5b_lr, Jun Anomaly, NPL
-0.8392, 2020-2039, ipsl_cm5b_lr, Jul Anomaly, NPL
-0.5389, 2020-2039, ipsl_cm5b_lr, Aug Anomaly, NPL
-0.5695, 2020-2039, ipsl_cm5b_lr, Sep Anomaly, NPL
-0.2559, 2020-2039, ipsl_cm5b_lr, Oct Anomaly, NPL
-0.1487, 2020-2039, ipsl_cm5b_lr, Nov Anomaly, NPL
-0.1451, 2020-2039, ipsl_cm5b_lr, Dec Anomaly, NPL
-0.284, 2020-2039, miroc_esm, Jan Anomaly, NPL
-0.3382, 2020-2039, miroc_esm, Feb Anomaly, NPL
-0.2074, 2020-2039, miroc_esm, Mar Anomaly, NPL
0.02723, 2020-2039, miroc_esm, Apr Anomaly, NPL
-0.4336, 2020-2039, miroc_esm, May Anomaly, NPL
-0.0374, 2020-2039, miroc_esm, Jun Anomaly, NPL
-0.0659, 2020-2039, miroc_esm, Jul Anomaly, NPL
-0.0504, 2020-2039, miroc_esm, Aug Anomaly, NPL
-0.0747, 2020-2039, miroc_esm, Sep Anomaly, NPL
-0.2626, 2020-2039, miroc_esm, Oct Anomaly, NPL
-0.2364, 2020-2039, miroc_esm, Nov Anomaly, NPL
