Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-5.802, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-5.235, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
1.23883, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-4.7054, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.43808, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
0.57337, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
11.6128, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-2.781, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-1.0502, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-1.0345, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
1.23285, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-2.9474, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
3.26666, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
1.39351, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
2.62869, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.6855, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
-0.3873, 2020-2039, bcc_csm1_1, May Anomaly, NPL
6.42567, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
2.37674, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
7.53087, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
2.81887, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-4.8478, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
5.55118, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
1.79074, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
3.68127, 2020-2039, ccsm4, Jan Anomaly, NPL
-2.1674, 2020-2039, ccsm4, Feb Anomaly, NPL
-7.5251, 2020-2039, ccsm4, Mar Anomaly, NPL
1.61033, 2020-2039, ccsm4, Apr Anomaly, NPL
6.23297, 2020-2039, ccsm4, May Anomaly, NPL
1.62495, 2020-2039, ccsm4, Jun Anomaly, NPL
2.16657, 2020-2039, ccsm4, Jul Anomaly, NPL
20.7661, 2020-2039, ccsm4, Aug Anomaly, NPL
21.1365, 2020-2039, ccsm4, Sep Anomaly, NPL
9.00675, 2020-2039, ccsm4, Oct Anomaly, NPL
-9.6953, 2020-2039, ccsm4, Nov Anomaly, NPL
-17.89, 2020-2039, ccsm4, Dec Anomaly, NPL
-10.121, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
3.7331, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
-3.0791, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-2.2354, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-1.0737, 2020-2039, cesm1_cam5, May Anomaly, NPL
-12.708, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
6.55539, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
13.8911, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
11.4033, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
16.8223, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
4.42548, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-2.4272, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
3.8726, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-2.0026, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.5778, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-1.7316, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.5196, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-1.5423, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.969, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
1.43491, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
2.68021, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.41802, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
1.9754, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
