Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
0.76102, 2040-2059, access1_0, Jan Anomaly, NPL
-3.977, 2040-2059, access1_0, Feb Anomaly, NPL
-0.1405, 2040-2059, access1_0, Mar Anomaly, NPL
-0.9728, 2040-2059, access1_0, Apr Anomaly, NPL
3.95653, 2040-2059, access1_0, May Anomaly, NPL
1.86137, 2040-2059, access1_0, Jun Anomaly, NPL
8.09739, 2040-2059, access1_0, Jul Anomaly, NPL
5.28209, 2040-2059, access1_0, Aug Anomaly, NPL
5.68208, 2040-2059, access1_0, Sep Anomaly, NPL
-2.5461, 2040-2059, access1_0, Oct Anomaly, NPL
-2.7392, 2040-2059, access1_0, Nov Anomaly, NPL
-1.4488, 2040-2059, access1_0, Dec Anomaly, NPL
-1.0156, 2040-2059, access1_3, Jan Anomaly, NPL
-4.0439, 2040-2059, access1_3, Feb Anomaly, NPL
-0.9106, 2040-2059, access1_3, Mar Anomaly, NPL
-0.0174, 2040-2059, access1_3, Apr Anomaly, NPL
1.98286, 2040-2059, access1_3, May Anomaly, NPL
5.12132, 2040-2059, access1_3, Jun Anomaly, NPL
13.195, 2040-2059, access1_3, Jul Anomaly, NPL
8.87421, 2040-2059, access1_3, Aug Anomaly, NPL
3.12288, 2040-2059, access1_3, Sep Anomaly, NPL
-0.8619, 2040-2059, access1_3, Oct Anomaly, NPL
-1.5879, 2040-2059, access1_3, Nov Anomaly, NPL
-3.0909, 2040-2059, access1_3, Dec Anomaly, NPL
-7.7606, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-2.2103, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-1.6737, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-6.1901, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-6.1213, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.42666, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
3.97049, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
3.51025, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
4.89866, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
2.3159, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-6.0164, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.79637, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
3.93211, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
5.7674, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
4.00262, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.0634, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.91783, 2040-2059, bcc_csm1_1, May Anomaly, NPL
12.8846, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
4.07642, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
7.84954, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
6.69081, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.70917, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
7.18964, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-1.5952, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
0.43588, 2040-2059, bnu_esm, Jan Anomaly, NPL
0.02895, 2040-2059, bnu_esm, Feb Anomaly, NPL
-1.0564, 2040-2059, bnu_esm, Mar Anomaly, NPL
0.44767, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.70993, 2040-2059, bnu_esm, May Anomaly, NPL
-1.4383, 2040-2059, bnu_esm, Jun Anomaly, NPL
5.95647, 2040-2059, bnu_esm, Jul Anomaly, NPL
1.65517, 2040-2059, bnu_esm, Aug Anomaly, NPL
9.3656, 2040-2059, bnu_esm, Sep Anomaly, NPL
-1.5666, 2040-2059, bnu_esm, Oct Anomaly, NPL
-2.088, 2040-2059, bnu_esm, Nov Anomaly, NPL
-0.9478, 2040-2059, bnu_esm, Dec Anomaly, NPL
1.57682, 2040-2059, canesm2, Jan Anomaly, NPL
0.08355, 2040-2059, canesm2, Feb Anomaly, NPL
0.727, 2040-2059, canesm2, Mar Anomaly, NPL
2.33262, 2040-2059, canesm2, Apr Anomaly, NPL
-2.3437, 2040-2059, canesm2, May Anomaly, NPL
-3.6771, 2040-2059, canesm2, Jun Anomaly, NPL
17.9876, 2040-2059, canesm2, Jul Anomaly, NPL
14.4537, 2040-2059, canesm2, Aug Anomaly, NPL
7.57012, 2040-2059, canesm2, Sep Anomaly, NPL
4.16353, 2040-2059, canesm2, Oct Anomaly, NPL
-1.5859, 2040-2059, canesm2, Nov Anomaly, NPL
-1.3956, 2040-2059, canesm2, Dec Anomaly, NPL
0.22972, 2040-2059, ccsm4, Jan Anomaly, NPL
