Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-7.2353, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-2.2428, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-2.8115, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-3.2475, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
5.30881, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
7.97884, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
9.87287, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
12.7932, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
4.05872, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
7.61314, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
5.38582, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
0.58128, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.03511, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
1.07311, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
1.37192, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
0.70925, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
1.23768, 2080-2099, bcc_csm1_1, May Anomaly, NPL
11.043, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
5.78431, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
10.1061, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
1.97351, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-3.1611, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
2.28291, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
0.23692, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
9.48337, 2080-2099, ccsm4, Jan Anomaly, NPL
-3.4119, 2080-2099, ccsm4, Feb Anomaly, NPL
-7.1544, 2080-2099, ccsm4, Mar Anomaly, NPL
3.56427, 2080-2099, ccsm4, Apr Anomaly, NPL
-1.5779, 2080-2099, ccsm4, May Anomaly, NPL
-5.6452, 2080-2099, ccsm4, Jun Anomaly, NPL
2.05562, 2080-2099, ccsm4, Jul Anomaly, NPL
22.3046, 2080-2099, ccsm4, Aug Anomaly, NPL
19.7352, 2080-2099, ccsm4, Sep Anomaly, NPL
17.3022, 2080-2099, ccsm4, Oct Anomaly, NPL
-6.2057, 2080-2099, ccsm4, Nov Anomaly, NPL
-26.546, 2080-2099, ccsm4, Dec Anomaly, NPL
-15.684, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
2.65025, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-2.4695, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
3.47161, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
8.70636, 2080-2099, cesm1_cam5, May Anomaly, NPL
4.71565, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
36.0997, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
39.4053, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
