Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
-11.369, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.22644, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-5.2953, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-5.2994, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-4.0464, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-5.143, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-6.8675, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
3.27235, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
4.17591, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-2.6305, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-1.6533, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-6.4883, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
0.08949, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
2.83794, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
1.01823, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.9672, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
1.19629, 2040-2059, bcc_csm1_1, May Anomaly, NPL
0.86844, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
8.70799, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
4.84122, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
9.03076, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.43235, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
11.7335, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
4.45618, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
9.3861, 2040-2059, ccsm4, Jan Anomaly, NPL
2.71285, 2040-2059, ccsm4, Feb Anomaly, NPL
-11.953, 2040-2059, ccsm4, Mar Anomaly, NPL
1.29761, 2040-2059, ccsm4, Apr Anomaly, NPL
1.8466, 2040-2059, ccsm4, May Anomaly, NPL
-1.8192, 2040-2059, ccsm4, Jun Anomaly, NPL
-3.376, 2040-2059, ccsm4, Jul Anomaly, NPL
13.3839, 2040-2059, ccsm4, Aug Anomaly, NPL
0.51446, 2040-2059, ccsm4, Sep Anomaly, NPL
-2.2218, 2040-2059, ccsm4, Oct Anomaly, NPL
2.22994, 2040-2059, ccsm4, Nov Anomaly, NPL
-13.687, 2040-2059, ccsm4, Dec Anomaly, NPL
-6.7387, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
-0.4852, 2040-2059, cesm1_cam5, Feb Anomaly, NPL
-0.4351, 2040-2059, cesm1_cam5, Mar Anomaly, NPL
0.73599, 2040-2059, cesm1_cam5, Apr Anomaly, NPL
5.93797, 2040-2059, cesm1_cam5, May Anomaly, NPL
-12.054, 2040-2059, cesm1_cam5, Jun Anomaly, NPL
14.6715, 2040-2059, cesm1_cam5, Jul Anomaly, NPL
19.6685, 2040-2059, cesm1_cam5, Aug Anomaly, NPL
10.0948, 2040-2059, cesm1_cam5, Sep Anomaly, NPL
19.7967, 2040-2059, cesm1_cam5, Oct Anomaly, NPL
0.87222, 2040-2059, cesm1_cam5, Nov Anomaly, NPL
0.27489, 2040-2059, cesm1_cam5, Dec Anomaly, NPL
2.47415, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NPL
-2.1283, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NPL
2.24593, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NPL
1.27557, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NPL
2.55089, 2040-2059, csiro_mk3_6_0, May Anomaly, NPL
-1.2817, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NPL
-2.7051, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NPL
0.00243, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NPL
3.57155, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NPL
1.91698, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NPL
