Largest Single Day Rainfall - (MM), Year, Model, Statistics, ISO3
3.2698, 2020-2039, cesm1_bgc, Feb Anomaly, NPL
-0.7444, 2020-2039, cesm1_bgc, Mar Anomaly, NPL
-2.7951, 2020-2039, cesm1_bgc, Apr Anomaly, NPL
0.40673, 2020-2039, cesm1_bgc, May Anomaly, NPL
-10.623, 2020-2039, cesm1_bgc, Jun Anomaly, NPL
15.2468, 2020-2039, cesm1_bgc, Jul Anomaly, NPL
1.09161, 2020-2039, cesm1_bgc, Aug Anomaly, NPL
-5.7803, 2020-2039, cesm1_bgc, Sep Anomaly, NPL
1.95505, 2020-2039, cesm1_bgc, Oct Anomaly, NPL
-0.5451, 2020-2039, cesm1_bgc, Nov Anomaly, NPL
-13.566, 2020-2039, cesm1_bgc, Dec Anomaly, NPL
-9.8517, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
2.55163, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.11351, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
3.33945, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-2.0744, 2020-2039, cesm1_cam5, May Anomaly, NPL
-3.7916, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
6.66926, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
19.8459, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-5.0315, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.77261, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
2.63342, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.5742, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
-5.3103, 2020-2039, cnrm_cm5, Jan Anomaly, NPL
-1.0053, 2020-2039, cnrm_cm5, Feb Anomaly, NPL
-5.1358, 2020-2039, cnrm_cm5, Mar Anomaly, NPL
-1.2371, 2020-2039, cnrm_cm5, Apr Anomaly, NPL
2.71144, 2020-2039, cnrm_cm5, May Anomaly, NPL
0.14073, 2020-2039, cnrm_cm5, Jun Anomaly, NPL
-4.179, 2020-2039, cnrm_cm5, Jul Anomaly, NPL
2.56131, 2020-2039, cnrm_cm5, Aug Anomaly, NPL
3.91566, 2020-2039, cnrm_cm5, Sep Anomaly, NPL
0.69335, 2020-2039, cnrm_cm5, Oct Anomaly, NPL
-6.051, 2020-2039, cnrm_cm5, Nov Anomaly, NPL
-4.5143, 2020-2039, cnrm_cm5, Dec Anomaly, NPL
-1.5695, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
-5.6545, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-3.1669, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.4256, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
1.17772, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-1.5142, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-0.2555, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
0.80739, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
3.73444, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
-0.235, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
-2.2638, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-2.702, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
0.95711, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
-3.4367, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
1.7461, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.5675, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
-1.563, 2020-2039, gfdl_cm3, May Anomaly, NPL
2.43898, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
2.07917, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
6.09398, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
-9.1353, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
-0.9655, 2020-2039, gfdl_cm3, Oct Anomaly, NPL
9.76717, 2020-2039, gfdl_cm3, Nov Anomaly, NPL
-5.6759, 2020-2039, gfdl_cm3, Dec Anomaly, NPL
0.84476, 2020-2039, gfdl_esm2g, Jan Anomaly, NPL
2.01015, 2020-2039, gfdl_esm2g, Feb Anomaly, NPL
0.66233, 2020-2039, gfdl_esm2g, Mar Anomaly, NPL
-1.2155, 2020-2039, gfdl_esm2g, Apr Anomaly, NPL
-1.8763, 2020-2039, gfdl_esm2g, May Anomaly, NPL
4.96236, 2020-2039, gfdl_esm2g, Jun Anomaly, NPL
4.65869, 2020-2039, gfdl_esm2g, Jul Anomaly, NPL
17.1856, 2020-2039, gfdl_esm2g, Aug Anomaly, NPL
-5.7451, 2020-2039, gfdl_esm2g, Sep Anomaly, NPL
-2.7948, 2020-2039, gfdl_esm2g, Oct Anomaly, NPL
2.58891, 2020-2039, gfdl_esm2g, Nov Anomaly, NPL
-1.2297, 2020-2039, gfdl_esm2g, Dec Anomaly, NPL
-1.5424, 2020-2039, gfdl_esm2m, Jan Anomaly, NPL
-2.3963, 2020-2039, gfdl_esm2m, Feb Anomaly, NPL
7.84215, 2020-2039, gfdl_esm2m, Mar Anomaly, NPL
-2.1339, 2020-2039, gfdl_esm2m, Apr Anomaly, NPL
-0.0087, 2020-2039, gfdl_esm2m, May Anomaly, NPL
-3.3976, 2020-2039, gfdl_esm2m, Jun Anomaly, NPL
8.72232, 2020-2039, gfdl_esm2m, Jul Anomaly, NPL
-3.0511, 2020-2039, gfdl_esm2m, Aug Anomaly, NPL
7.94221, 2020-2039, gfdl_esm2m, Sep Anomaly, NPL
1.09859, 2020-2039, gfdl_esm2m, Oct Anomaly, NPL
-3.7271, 2020-2039, gfdl_esm2m, Nov Anomaly, NPL
2.96128, 2020-2039, gfdl_esm2m, Dec Anomaly, NPL
-0.9027, 2020-2039, hadgem2_ao, Jan Anomaly, NPL
-4.5765, 2020-2039, hadgem2_ao, Feb Anomaly, NPL
-0.7067, 2020-2039, hadgem2_ao, Mar Anomaly, NPL
0.22272, 2020-2039, hadgem2_ao, Apr Anomaly, NPL
2.63764, 2020-2039, hadgem2_ao, May Anomaly, NPL
1.39945, 2020-2039, hadgem2_ao, Jun Anomaly, NPL
2.45026, 2020-2039, hadgem2_ao, Jul Anomaly, NPL
1.26282, 2020-2039, hadgem2_ao, Aug Anomaly, NPL
3.41816, 2020-2039, hadgem2_ao, Sep Anomaly, NPL
-0.3949, 2020-2039, hadgem2_ao, Oct Anomaly, NPL
-4.97, 2020-2039, hadgem2_ao, Nov Anomaly, NPL
1.42758, 2020-2039, hadgem2_ao, Dec Anomaly, NPL
0.44993, 2020-2039, hadgem2_cc, Jan Anomaly, NPL
-4.3694, 2020-2039, hadgem2_cc, Feb Anomaly, NPL
-0.6019, 2020-2039, hadgem2_cc, Mar Anomaly, NPL
-0.0691, 2020-2039, hadgem2_cc, Apr Anomaly, NPL
0.26367, 2020-2039, hadgem2_cc, May Anomaly, NPL
2.0794, 2020-2039, hadgem2_cc, Jun Anomaly, NPL
4.23397, 2020-2039, hadgem2_cc, Jul Anomaly, NPL
-2.41, 2020-2039, hadgem2_cc, Aug Anomaly, NPL
1.2694, 2020-2039, hadgem2_cc, Sep Anomaly, NPL
-2.2411, 2020-2039, hadgem2_cc, Oct Anomaly, NPL
-2.9088, 2020-2039, hadgem2_cc, Nov Anomaly, NPL
-1.7398, 2020-2039, hadgem2_cc, Dec Anomaly, NPL
0.83153, 2020-2039, inmcm4, Jan Anomaly, NPL
-2.8811, 2020-2039, inmcm4, Feb Anomaly, NPL
-1.2278, 2020-2039, inmcm4, Mar Anomaly, NPL
-0.1213, 2020-2039, inmcm4, Apr Anomaly, NPL
0.59591, 2020-2039, inmcm4, May Anomaly, NPL
0.43911, 2020-2039, inmcm4, Jun Anomaly, NPL
1.80734, 2020-2039, inmcm4, Jul Anomaly, NPL
0.25336, 2020-2039, inmcm4, Aug Anomaly, NPL
-0.2444, 2020-2039, inmcm4, Sep Anomaly, NPL
3.38164, 2020-2039, inmcm4, Oct Anomaly, NPL
0.35877, 2020-2039, inmcm4, Nov Anomaly, NPL
5.05768, 2020-2039, inmcm4, Dec Anomaly, NPL
-6.7334, 2020-2039, ipsl_cm5a_lr, Jan Anomaly, NPL
-6.8862, 2020-2039, ipsl_cm5a_lr, Feb Anomaly, NPL
-9.1881, 2020-2039, ipsl_cm5a_lr, Mar Anomaly, NPL
-5.1097, 2020-2039, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.9917, 2020-2039, ipsl_cm5a_lr, May Anomaly, NPL
0.16618, 2020-2039, ipsl_cm5a_lr, Jun Anomaly, NPL
1.31379, 2020-2039, ipsl_cm5a_lr, Jul Anomaly, NPL
