Types of lakes,No. in 1960s,No. in 2000,% change in no,Area(m2) in 1960s,Area(m2) in 2000,% change Area(m2) ,Area of largest lake
Supraglacial (S),267,72,-73,3369,1286,-62,121
Erosion (E),141,98,-30,3607,2218,-39,356
Moraine-dammed (M),33,89,170,2291,7254,217,848
Valley (V),13,16,23,1706,2709,59,836
Blocked  (B),10,17,70,1764,2146,22,554
Cirque (C),9,4,-56,335,226,-32,147
