Snow level,2000-2005,2000,2001,2002,2003,2004,2005
max,53012,41019,39991,50422,50977,46268,53012
min,3021,3739,3742,3021,4861,3807,3219
mean,16486,13546,14940,18751,17001,15205,17938
stdev,11224,8872,8561,12911,12399,10964,11573
CV,68,65,57,69,73,72,65
