Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
4.63763, 2060-2079, access1_0, Jan Anomaly, NPL
2.83729, 2060-2079, access1_0, Feb Anomaly, NPL
6.0146, 2060-2079, access1_0, Mar Anomaly, NPL
5.04854, 2060-2079, access1_0, Apr Anomaly, NPL
2.92716, 2060-2079, access1_0, May Anomaly, NPL
2.42664, 2060-2079, access1_0, Jun Anomaly, NPL
1.50974, 2060-2079, access1_0, Jul Anomaly, NPL
2.68082, 2060-2079, access1_0, Aug Anomaly, NPL
5.59207, 2060-2079, access1_0, Sep Anomaly, NPL
8.61883, 2060-2079, access1_0, Oct Anomaly, NPL
12.4335, 2060-2079, access1_0, Nov Anomaly, NPL
7.90231, 2060-2079, access1_0, Dec Anomaly, NPL
4.03823, 2060-2079, access1_3, Jan Anomaly, NPL
2.33899, 2060-2079, access1_3, Feb Anomaly, NPL
2.98092, 2060-2079, access1_3, Mar Anomaly, NPL
4.95867, 2060-2079, access1_3, Apr Anomaly, NPL
2.40954, 2060-2079, access1_3, May Anomaly, NPL
2.54288, 2060-2079, access1_3, Jun Anomaly, NPL
2.82884, 2060-2079, access1_3, Jul Anomaly, NPL
2.28987, 2060-2079, access1_3, Aug Anomaly, NPL
5.90863, 2060-2079, access1_3, Sep Anomaly, NPL
5.35934, 2060-2079, access1_3, Oct Anomaly, NPL
4.97615, 2060-2079, access1_3, Nov Anomaly, NPL
6.97197, 2060-2079, access1_3, Dec Anomaly, NPL
4.40387, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.66161, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.81173, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
4.96592, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.73381, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.99674, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.02657, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
1.7503, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.71484, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
2.53757, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
2.52238, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
1.55263, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
9.08063, 2060-2079, bnu_esm, Jan Anomaly, NPL
4.49374, 2060-2079, bnu_esm, Feb Anomaly, NPL
8.39263, 2060-2079, bnu_esm, Mar Anomaly, NPL
5.23608, 2060-2079, bnu_esm, Apr Anomaly, NPL
7.18988, 2060-2079, bnu_esm, May Anomaly, NPL
6.49015, 2060-2079, bnu_esm, Jun Anomaly, NPL
3.63322, 2060-2079, bnu_esm, Jul Anomaly, NPL
0.13492, 2060-2079, bnu_esm, Aug Anomaly, NPL
1.09494, 2060-2079, bnu_esm, Sep Anomaly, NPL
1.87881, 2060-2079, bnu_esm, Oct Anomaly, NPL
4.06625, 2060-2079, bnu_esm, Nov Anomaly, NPL
6.5773, 2060-2079, bnu_esm, Dec Anomaly, NPL
1.73473, 2060-2079, canesm2, Jan Anomaly, NPL
2.90619, 2060-2079, canesm2, Feb Anomaly, NPL
3.00052, 2060-2079, canesm2, Mar Anomaly, NPL
4.51074, 2060-2079, canesm2, Apr Anomaly, NPL
4.55519, 2060-2079, canesm2, May Anomaly, NPL
5.60912, 2060-2079, canesm2, Jun Anomaly, NPL
3.12625, 2060-2079, canesm2, Jul Anomaly, NPL
0.63896, 2060-2079, canesm2, Aug Anomaly, NPL
3.62158, 2060-2079, canesm2, Sep Anomaly, NPL
2.38379, 2060-2079, canesm2, Oct Anomaly, NPL
5.19199, 2060-2079, canesm2, Nov Anomaly, NPL
4.04212, 2060-2079, canesm2, Dec Anomaly, NPL
3.70717, 2060-2079, ccsm4, Jan Anomaly, NPL
1.48793, 2060-2079, ccsm4, Feb Anomaly, NPL
3.69804, 2060-2079, ccsm4, Mar Anomaly, NPL
4.51255, 2060-2079, ccsm4, Apr Anomaly, NPL
6.20393, 2060-2079, ccsm4, May Anomaly, NPL
4.78995, 2060-2079, ccsm4, Jun Anomaly, NPL
1.37484, 2060-2079, ccsm4, Jul Anomaly, NPL
0.95855, 2060-2079, ccsm4, Aug Anomaly, NPL
1.82581, 2060-2079, ccsm4, Sep Anomaly, NPL
3.40108, 2060-2079, ccsm4, Oct Anomaly, NPL
4.69286, 2060-2079, ccsm4, Nov Anomaly, NPL
2.11792, 2060-2079, ccsm4, Dec Anomaly, NPL
4.40972, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
3.99643, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
1.08431, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.31361, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
2.44629, 2060-2079, cesm1_cam5, May Anomaly, NPL
2.31037, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
1.06867, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
1.00377, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
3.58504, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
4.83891, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
7.16417, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
4.45748, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
3.48501, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
3.45126, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
1.34219, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
5.24123, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
3.08635, 2060-2079, cnrm_cm5, May Anomaly, NPL
2.10782, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
0.4376, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
1.17377, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
3.19704, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
