Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
3.73816, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
1.34729, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
5.52984, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
8.50601, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
8.94083, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
3.16723, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
1.8813, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
1.57753, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
3.25334, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
4.6574, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
3.29913, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
1.71434, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
2.99849, 2080-2099, ccsm4, Jan Anomaly, NPL
1.29787, 2080-2099, ccsm4, Feb Anomaly, NPL
5.93852, 2080-2099, ccsm4, Mar Anomaly, NPL
7.71077, 2080-2099, ccsm4, Apr Anomaly, NPL
7.18888, 2080-2099, ccsm4, May Anomaly, NPL
7.02392, 2080-2099, ccsm4, Jun Anomaly, NPL
1.88341, 2080-2099, ccsm4, Jul Anomaly, NPL
2.05312, 2080-2099, ccsm4, Aug Anomaly, NPL
1.6268, 2080-2099, ccsm4, Sep Anomaly, NPL
4.79086, 2080-2099, ccsm4, Oct Anomaly, NPL
3.54997, 2080-2099, ccsm4, Nov Anomaly, NPL
2.21152, 2080-2099, ccsm4, Dec Anomaly, NPL
6.76685, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
5.59891, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
3.16604, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
5.5749, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
3.91888, 2080-2099, cesm1_cam5, May Anomaly, NPL
3.44048, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
2.64108, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
2.97413, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
5.58497, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
10.2666, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
10.8161, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
6.74796, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
6.14876, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
8.43058, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
6.3761, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
10.0791, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
11.2141, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
14.6557, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
12.6316, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
8.86526, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
6.1566, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
4.81282, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
10.2665, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
10.7524, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
9.80634, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
8.68137, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
5.17864, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
6.16547, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
8.85336, 2080-2099, gfdl_cm3, May Anomaly, NPL
10.2279, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
13.5513, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
24.6267, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
19.6838, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
15.43, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
11.2519, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
