Warm Spell Duration Index - (Days), Year, Model, Statistics, ISO3
4.24098, 2040-2059, access1_0, Jan Anomaly, NPL
1.36683, 2040-2059, access1_0, Feb Anomaly, NPL
3.80408, 2040-2059, access1_0, Mar Anomaly, NPL
2.98495, 2040-2059, access1_0, Apr Anomaly, NPL
0.67926, 2040-2059, access1_0, May Anomaly, NPL
0.66831, 2040-2059, access1_0, Jun Anomaly, NPL
0.66042, 2040-2059, access1_0, Jul Anomaly, NPL
1.94162, 2040-2059, access1_0, Aug Anomaly, NPL
4.11282, 2040-2059, access1_0, Sep Anomaly, NPL
3.43293, 2040-2059, access1_0, Oct Anomaly, NPL
6.36755, 2040-2059, access1_0, Nov Anomaly, NPL
4.33327, 2040-2059, access1_0, Dec Anomaly, NPL
1.54413, 2040-2059, access1_3, Jan Anomaly, NPL
0.07096, 2040-2059, access1_3, Feb Anomaly, NPL
1.82069, 2040-2059, access1_3, Mar Anomaly, NPL
1.3983, 2040-2059, access1_3, Apr Anomaly, NPL
1.61723, 2040-2059, access1_3, May Anomaly, NPL
2.08144, 2040-2059, access1_3, Jun Anomaly, NPL
0.77775, 2040-2059, access1_3, Jul Anomaly, NPL
1.25293, 2040-2059, access1_3, Aug Anomaly, NPL
2.16857, 2040-2059, access1_3, Sep Anomaly, NPL
1.75496, 2040-2059, access1_3, Oct Anomaly, NPL
2.27467, 2040-2059, access1_3, Nov Anomaly, NPL
3.45817, 2040-2059, access1_3, Dec Anomaly, NPL
1.7113, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
0.35436, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
3.60969, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
3.67341, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
5.42718, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.57517, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-0.301, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
1.22356, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.15615, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
0.98885, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
0.61308, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
1.41323, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
3.15072, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.90441, 2040-2059, bnu_esm, Feb Anomaly, NPL
2.64, 2040-2059, bnu_esm, Mar Anomaly, NPL
1.57283, 2040-2059, bnu_esm, Apr Anomaly, NPL
1.49916, 2040-2059, bnu_esm, May Anomaly, NPL
2.54425, 2040-2059, bnu_esm, Jun Anomaly, NPL
0.56659, 2040-2059, bnu_esm, Jul Anomaly, NPL
0.17253, 2040-2059, bnu_esm, Aug Anomaly, NPL
0.63506, 2040-2059, bnu_esm, Sep Anomaly, NPL
