Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-1.6426, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.6669, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.5116, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1948, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0083, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
-0.0136, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
-0.1542, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-1.3418, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-2.728, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-1.1258, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
-0.4894, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
-0.2998, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-0.0305, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
-0.001, 2040-2059, bcc_csm1_1, May Anomaly, NPL
3.8E-4, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
-3.0E-4, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
-0.1032, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
-0.4041, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
-0.4369, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.978, 2040-2059, bnu_esm, Jan Anomaly, NPL
-1.3478, 2040-2059, bnu_esm, Feb Anomaly, NPL
-1.5086, 2040-2059, bnu_esm, Mar Anomaly, NPL
-0.4341, 2040-2059, bnu_esm, Apr Anomaly, NPL
-0.0072, 2040-2059, bnu_esm, May Anomaly, NPL
-7.0E-4, 2040-2059, bnu_esm, Sep Anomaly, NPL
-0.217, 2040-2059, bnu_esm, Oct Anomaly, NPL
-1.0379, 2040-2059, bnu_esm, Nov Anomaly, NPL
-1.4912, 2040-2059, bnu_esm, Dec Anomaly, NPL
-1.8969, 2040-2059, canesm2, Jan Anomaly, NPL
-0.6946, 2040-2059, canesm2, Feb Anomaly, NPL
-1.9677, 2040-2059, canesm2, Mar Anomaly, NPL
-0.4686, 2040-2059, canesm2, Apr Anomaly, NPL
-0.0396, 2040-2059, canesm2, May Anomaly, NPL
-3.0E-4, 2040-2059, canesm2, Jun Anomaly, NPL
-0.0245, 2040-2059, canesm2, Oct Anomaly, NPL
-0.873, 2040-2059, canesm2, Nov Anomaly, NPL
-2.2498, 2040-2059, canesm2, Dec Anomaly, NPL
-0.7435, 2040-2059, ccsm4, Jan Anomaly, NPL
-1.3547, 2040-2059, ccsm4, Feb Anomaly, NPL
-1.3252, 2040-2059, ccsm4, Mar Anomaly, NPL
-0.2136, 2040-2059, ccsm4, Apr Anomaly, NPL
-0.008, 2040-2059, ccsm4, May Anomaly, NPL
-0.0273, 2040-2059, ccsm4, Oct Anomaly, NPL
-0.4599, 2040-2059, ccsm4, Nov Anomaly, NPL
-0.7961, 2040-2059, ccsm4, Dec Anomaly, NPL
-1.1003, 2040-2059, cesm1_cam5, Jan Anomaly, NPL
