Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-4.3219, 2080-2099, access1_0, Jan Anomaly, NPL
-3.4044, 2080-2099, access1_0, Feb Anomaly, NPL
-2.0017, 2080-2099, access1_0, Mar Anomaly, NPL
-0.1927, 2080-2099, access1_0, Apr Anomaly, NPL
-0.0014, 2080-2099, access1_0, May Anomaly, NPL
-0.1008, 2080-2099, access1_0, Oct Anomaly, NPL
-1.5507, 2080-2099, access1_0, Nov Anomaly, NPL
-3.8673, 2080-2099, access1_0, Dec Anomaly, NPL
-4.2783, 2080-2099, access1_3, Jan Anomaly, NPL
-3.7485, 2080-2099, access1_3, Feb Anomaly, NPL
-1.9956, 2080-2099, access1_3, Mar Anomaly, NPL
-0.2715, 2080-2099, access1_3, Apr Anomaly, NPL
-0.0036, 2080-2099, access1_3, May Anomaly, NPL
-0.0755, 2080-2099, access1_3, Oct Anomaly, NPL
-1.5094, 2080-2099, access1_3, Nov Anomaly, NPL
-4.0133, 2080-2099, access1_3, Dec Anomaly, NPL
-2.5185, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-2.0905, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-1.4829, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.24, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.008, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
3.8E-4, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-0.014, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2382, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-1.926, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-3.1777, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-1.3996, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-1.226, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-1.5392, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.1604, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.158, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-1.4156, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-1.3648, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-2.6167, 2080-2099, bnu_esm, Jan Anomaly, NPL
-2.629, 2080-2099, bnu_esm, Feb Anomaly, NPL
-2.4338, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.4123, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.0072, 2080-2099, bnu_esm, May Anomaly, NPL
-7.0E-4, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.2375, 2080-2099, bnu_esm, Oct Anomaly, NPL
-1.6445, 2080-2099, bnu_esm, Nov Anomaly, NPL
-2.7854, 2080-2099, bnu_esm, Dec Anomaly, NPL
-3.3461, 2080-2099, canesm2, Jan Anomaly, NPL
-2.2141, 2080-2099, canesm2, Feb Anomaly, NPL
-2.9286, 2080-2099, canesm2, Mar Anomaly, NPL
-0.704, 2080-2099, canesm2, Apr Anomaly, NPL
-0.0419, 2080-2099, canesm2, May Anomaly, NPL
-3.0E-4, 2080-2099, canesm2, Jun Anomaly, NPL
-0.056, 2080-2099, canesm2, Oct Anomaly, NPL
-1.3877, 2080-2099, canesm2, Nov Anomaly, NPL
-3.8513, 2080-2099, canesm2, Dec Anomaly, NPL
-2.3953, 2080-2099, ccsm4, Jan Anomaly, NPL
-2.706, 2080-2099, ccsm4, Feb Anomaly, NPL
-2.494, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.3165, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0111, 2080-2099, ccsm4, May Anomaly, NPL
-0.0432, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.9468, 2080-2099, ccsm4, Nov Anomaly, NPL
-2.4862, 2080-2099, ccsm4, Dec Anomaly, NPL
-2.1376, 2080-2099, cesm1_bgc, Jan Anomaly, NPL
-1.9168, 2080-2099, cesm1_bgc, Feb Anomaly, NPL
-1.9716, 2080-2099, cesm1_bgc, Mar Anomaly, NPL
-0.3542, 2080-2099, cesm1_bgc, Apr Anomaly, NPL
-0.0139, 2080-2099, cesm1_bgc, May Anomaly, NPL
-0.0733, 2080-2099, cesm1_bgc, Oct Anomaly, NPL
-1.1115, 2080-2099, cesm1_bgc, Nov Anomaly, NPL
-2.025, 2080-2099, cesm1_bgc, Dec Anomaly, NPL
-3.2674, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-3.0716, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-1.4976, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.2711, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.0039, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.0435, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
