Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.8078, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-2.2661, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-1.8053, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2512, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.006, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.014, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2432, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-1.8825, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-3.1504, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-1.5977, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-2.2067, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-2.3542, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.2034, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2080-2099, bcc_csm1_1, May Anomaly, NPL
-3.0E-4, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.2169, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-1.6803, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-1.7315, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-1.899, 2080-2099, ccsm4, Jan Anomaly, NPL
-1.6053, 2080-2099, ccsm4, Feb Anomaly, NPL
-2.3215, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.3383, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0111, 2080-2099, ccsm4, May Anomaly, NPL
-0.0334, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.9675, 2080-2099, ccsm4, Nov Anomaly, NPL
-2.2017, 2080-2099, ccsm4, Dec Anomaly, NPL
-2.7346, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-2.7786, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-1.4119, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.3098, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.0039, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.0435, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-0.8658, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-2.2132, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-2.3472, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-3.6077, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-2.5266, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-0.3098, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0017, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-0.0389, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-2.1135, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-3.433, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-6.4023, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-5.0451, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-2.6838, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-0.5874, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-0.0376, 2080-2099, gfdl_cm3, May Anomaly, NPL
-0.0309, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-1.2832, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-5.9973, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-3.3754, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-2.4469, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-2.1849, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
-0.2305, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
-0.0015, 2080-2099, gfdl_esm2g, May Anomaly, NPL
-0.0249, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-0.2674, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
-1.8666, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
-3.7254, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
-2.3811, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
-1.8736, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-1.6476, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-0.3515, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-0.0631, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-0.019, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-0.2105, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
-2.3671, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
-2.883, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-3.1615, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-3.5581, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-2.0692, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-0.2671, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-0.0014, 2080-2099, hadgem2_ao, May Anomaly, NPL
-0.0541, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-1.6883, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-3.5832, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-3.9049, 2080-2099, hadgem2_es, Jan Anomaly, NPL
-3.4817, 2080-2099, hadgem2_es, Feb Anomaly, NPL
-1.9204, 2080-2099, hadgem2_es, Mar Anomaly, NPL
-0.2316, 2080-2099, hadgem2_es, Apr Anomaly, NPL
-3.0E-4, 2080-2099, hadgem2_es, May Anomaly, NPL
-0.0368, 2080-2099, hadgem2_es, Oct Anomaly, NPL
-1.3131, 2080-2099, hadgem2_es, Nov Anomaly, NPL
-3.6923, 2080-2099, hadgem2_es, Dec Anomaly, NPL
-4.1299, 2080-2099, ipsl_cm5a_lr, Jan Anomaly, NPL
-2.7906, 2080-2099, ipsl_cm5a_lr, Feb Anomaly, NPL
-2.5558, 2080-2099, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.5015, 2080-2099, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.0286, 2080-2099, ipsl_cm5a_lr, May Anomaly, NPL
-0.1799, 2080-2099, ipsl_cm5a_lr, Oct Anomaly, NPL
-2.4416, 2080-2099, ipsl_cm5a_lr, Nov Anomaly, NPL
-4.6715, 2080-2099, ipsl_cm5a_lr, Dec Anomaly, NPL
-4.1683, 2080-2099, ipsl_cm5a_mr, Jan Anomaly, NPL
-3.3257, 2080-2099, ipsl_cm5a_mr, Feb Anomaly, NPL
-2.7089, 2080-2099, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.856, 2080-2099, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.044, 2080-2099, ipsl_cm5a_mr, May Anomaly, NPL
-0.1047, 2080-2099, ipsl_cm5a_mr, Oct Anomaly, NPL
-1.7264, 2080-2099, ipsl_cm5a_mr, Nov Anomaly, NPL
-3.9261, 2080-2099, ipsl_cm5a_mr, Dec Anomaly, NPL
-4.2165, 2080-2099, miroc5, Jan Anomaly, NPL
-3.8227, 2080-2099, miroc5, Feb Anomaly, NPL
-2.2965, 2080-2099, miroc5, Mar Anomaly, NPL
-0.258, 2080-2099, miroc5, Apr Anomaly, NPL
-0.002, 2080-2099, miroc5, May Anomaly, NPL
-0.0093, 2080-2099, miroc5, Oct Anomaly, NPL
-0.7799, 2080-2099, miroc5, Nov Anomaly, NPL
-3.5639, 2080-2099, miroc5, Dec Anomaly, NPL
-6.5892, 2080-2099, miroc_esm_chem, Jan Anomaly, NPL
-4.8097, 2080-2099, miroc_esm_chem, Feb Anomaly, NPL
-1.8209, 2080-2099, miroc_esm_chem, Mar Anomaly, NPL
-0.1598, 2080-2099, miroc_esm_chem, Apr Anomaly, NPL
-0.0071, 2080-2099, miroc_esm_chem, May Anomaly, NPL
-0.006, 2080-2099, miroc_esm_chem, Oct Anomaly, NPL
-1.2524, 2080-2099, miroc_esm_chem, Nov Anomaly, NPL
-5.5165, 2080-2099, miroc_esm_chem, Dec Anomaly, NPL
-5.4381, 2080-2099, miroc_esm, Jan Anomaly, NPL
-3.8461, 2080-2099, miroc_esm, Feb Anomaly, NPL
-1.3986, 2080-2099, miroc_esm, Mar Anomaly, NPL
-0.1785, 2080-2099, miroc_esm, Apr Anomaly, NPL
-0.0049, 2080-2099, miroc_esm, May Anomaly, NPL
-0.0037, 2080-2099, miroc_esm, Oct Anomaly, NPL
-1.3263, 2080-2099, miroc_esm, Nov Anomaly, NPL
-4.7769, 2080-2099, miroc_esm, Dec Anomaly, NPL
-2.2933, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
-2.5046, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
-1.9672, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
-0.3036, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
-3.0E-4, 2080-2099, mri_cgcm3, May Anomaly, NPL
-0.0744, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
-2.3228, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
-3.6148, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
-2.2616, 2080-2099, noresm1_m, Jan Anomaly, NPL
-2.0049, 2080-2099, noresm1_m, Feb Anomaly, NPL
-2.4706, 2080-2099, noresm1_m, Mar Anomaly, NPL
-0.3061, 2080-2099, noresm1_m, Apr Anomaly, NPL
-0.0461, 2080-2099, noresm1_m, Oct Anomaly, NPL
-1.906, 2080-2099, noresm1_m, Nov Anomaly, NPL
-2.6005, 2080-2099, noresm1_m, Dec Anomaly, NPL
-5.7044, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-4.4036, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
-2.4336, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.2925, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.0047, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
0.0, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.0696, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-1.9875, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-5.3856, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
-3.8444, 2080-2099, Ensemble (50th Percentile), Jan Anomaly, NPL
-3.0091, 2080-2099, Ensemble (50th Percentile), Feb Anomaly, NPL
-2.0121, 2080-2099, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.2741, 2080-2099, Ensemble (50th Percentile), Apr Anomaly, NPL
-0.0047, 2080-2099, Ensemble (50th Percentile), May Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Jun Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Jul Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Aug Anomaly, NPL
0.0, 2080-2099, Ensemble (50th Percentile), Sep Anomaly, NPL
-0.0688, 2080-2099, Ensemble (50th Percentile), Oct Anomaly, NPL
-1.6911, 2080-2099, Ensemble (50th Percentile), Nov Anomaly, NPL
-4.2195, 2080-2099, Ensemble (50th Percentile), Dec Anomaly, NPL
-0.5817, 2080-2099, Ensemble (90th Percentile), Jan Anomaly, NPL
-0.7175, 2080-2099, Ensemble (90th Percentile), Feb Anomaly, NPL
-1.1668, 2080-2099, Ensemble (90th Percentile), Mar Anomaly, NPL
-0.1838, 2080-2099, Ensemble (90th Percentile), Apr Anomaly, NPL
-0.0038, 2080-2099, Ensemble (90th Percentile), May Anomaly, NPL
0.0, 2080-2099, Ensemble (90th Percentile), Jun Anomaly, NPL
0.0, 2080-2099, Ensemble (90th Percentile), Jul Anomaly, NPL
0.0, 2080-2099, Ensemble (90th Percentile), Aug Anomaly, NPL
