Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-0.7205, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.7833, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.8274, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.1439, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0035, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
-0.0125, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
-0.1397, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.8461, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-1.2711, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
-0.8383, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.3588, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.7058, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.0913, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
-0.0041, 2080-2099, bcc_csm1_1, May Anomaly, NPL
7.5E-4, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.141, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.4028, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.2786, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
-1.0274, 2080-2099, bnu_esm, Jan Anomaly, NPL
-0.4453, 2080-2099, bnu_esm, Feb Anomaly, NPL
-1.2522, 2080-2099, bnu_esm, Mar Anomaly, NPL
-0.3605, 2080-2099, bnu_esm, Apr Anomaly, NPL
-0.005, 2080-2099, bnu_esm, May Anomaly, NPL
-7.0E-4, 2080-2099, bnu_esm, Sep Anomaly, NPL
-0.2127, 2080-2099, bnu_esm, Oct Anomaly, NPL
-0.8567, 2080-2099, bnu_esm, Nov Anomaly, NPL
-0.9421, 2080-2099, bnu_esm, Dec Anomaly, NPL
-1.4288, 2080-2099, canesm2, Jan Anomaly, NPL
-0.9508, 2080-2099, canesm2, Feb Anomaly, NPL
-1.4505, 2080-2099, canesm2, Mar Anomaly, NPL
-0.3788, 2080-2099, canesm2, Apr Anomaly, NPL
-0.0262, 2080-2099, canesm2, May Anomaly, NPL
-3.0E-4, 2080-2099, canesm2, Jun Anomaly, NPL
-0.0499, 2080-2099, canesm2, Oct Anomaly, NPL
-1.0343, 2080-2099, canesm2, Nov Anomaly, NPL
-2.2556, 2080-2099, canesm2, Dec Anomaly, NPL
-0.8047, 2080-2099, ccsm4, Jan Anomaly, NPL
-1.1132, 2080-2099, ccsm4, Feb Anomaly, NPL
-1.525, 2080-2099, ccsm4, Mar Anomaly, NPL
-0.1976, 2080-2099, ccsm4, Apr Anomaly, NPL
-0.0107, 2080-2099, ccsm4, May Anomaly, NPL
-0.0413, 2080-2099, ccsm4, Oct Anomaly, NPL
-0.6026, 2080-2099, ccsm4, Nov Anomaly, NPL
-1.2211, 2080-2099, ccsm4, Dec Anomaly, NPL
-1.3429, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
-1.5428, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-0.7124, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
-0.2185, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
-0.0039, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.0386, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
-0.4967, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-1.0873, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-2.5928, 2080-2099, cnrm_cm5, Jan Anomaly, NPL
-1.6953, 2080-2099, cnrm_cm5, Feb Anomaly, NPL
-0.323, 2080-2099, cnrm_cm5, Mar Anomaly, NPL
-0.1632, 2080-2099, cnrm_cm5, Apr Anomaly, NPL
-0.0102, 2080-2099, cnrm_cm5, May Anomaly, NPL
-0.0307, 2080-2099, cnrm_cm5, Oct Anomaly, NPL
-1.7625, 2080-2099, cnrm_cm5, Nov Anomaly, NPL
-3.0414, 2080-2099, cnrm_cm5, Dec Anomaly, NPL
-2.152, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-2.792, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
-2.1119, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
-0.2798, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0017, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-0.0371, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
-1.9177, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
-2.6559, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-4.414, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-3.5496, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
-1.8605, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-0.4096, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
-0.0281, 2080-2099, gfdl_cm3, May Anomaly, NPL
-0.0309, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
-1.2092, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-4.4571, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-0.8924, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
