Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-2.6439, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.9989, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.671, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2454, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0081, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.0133, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2189, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-1.7663, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-3.0406, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-1.5522, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.9019, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.3513, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.1735, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0045, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.00252, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.201, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-1.489, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.2965, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-1.5103, 2060-2079, ccsm4, Jan Anomaly, NPL
-1.4539, 2060-2079, ccsm4, Feb Anomaly, NPL
-2.2177, 2060-2079, ccsm4, Mar Anomaly, NPL
-0.3601, 2060-2079, ccsm4, Apr Anomaly, NPL
-0.0093, 2060-2079, ccsm4, May Anomaly, NPL
-0.037, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.7033, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.4773, 2060-2079, ccsm4, Dec Anomaly, NPL
-1.6424, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
-1.914, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
-1.6007, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
-0.3062, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
-0.0035, 2060-2079, cesm1_cam5, May Anomaly, NPL
-0.041, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.6062, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
-1.3183, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-2.1359, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
-2.1327, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-2.5791, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
-0.3273, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
-0.0017, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
-0.0487, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
-1.526, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
-3.2017, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
-4.6991, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-2.9475, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
-2.1468, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-0.5482, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
-0.0376, 2060-2079, gfdl_cm3, May Anomaly, NPL
-0.0309, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
-1.2646, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-5.3395, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
-3.0354, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-2.1038, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-1.4778, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-0.2615, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.0015, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.0276, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-0.2469, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
-1.9152, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
-2.4431, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
-1.5552, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-1.3789, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
-1.2083, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.2901, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-0.0631, 2060-2079, gfdl_esm2m, May Anomaly, NPL
-0.0194, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
-0.1358, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
-1.637, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
-1.7012, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
-1.7575, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-1.9195, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-1.7936, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-0.2491, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-0.0014, 2060-2079, hadgem2_ao, May Anomaly, NPL
-0.0537, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-1.616, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-3.184, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-3.3013, 2060-2079, hadgem2_es, Jan Anomaly, NPL
-3.1597, 2060-2079, hadgem2_es, Feb Anomaly, NPL
-1.8848, 2060-2079, hadgem2_es, Mar Anomaly, NPL
-0.1906, 2060-2079, hadgem2_es, Apr Anomaly, NPL
-3.0E-4, 2060-2079, hadgem2_es, May Anomaly, NPL
-0.0368, 2060-2079, hadgem2_es, Oct Anomaly, NPL
-1.1962, 2060-2079, hadgem2_es, Nov Anomaly, NPL
-2.6698, 2060-2079, hadgem2_es, Dec Anomaly, NPL
-4.7538, 2060-2079, ipsl_cm5a_lr, Jan Anomaly, NPL
-2.7265, 2060-2079, ipsl_cm5a_lr, Feb Anomaly, NPL
-2.3462, 2060-2079, ipsl_cm5a_lr, Mar Anomaly, NPL
-0.3944, 2060-2079, ipsl_cm5a_lr, Apr Anomaly, NPL
-0.0273, 2060-2079, ipsl_cm5a_lr, May Anomaly, NPL
-0.1784, 2060-2079, ipsl_cm5a_lr, Oct Anomaly, NPL
-2.4597, 2060-2079, ipsl_cm5a_lr, Nov Anomaly, NPL
-4.205, 2060-2079, ipsl_cm5a_lr, Dec Anomaly, NPL
-2.7823, 2060-2079, ipsl_cm5a_mr, Jan Anomaly, NPL
-3.3306, 2060-2079, ipsl_cm5a_mr, Feb Anomaly, NPL
-2.449, 2060-2079, ipsl_cm5a_mr, Mar Anomaly, NPL
-0.7138, 2060-2079, ipsl_cm5a_mr, Apr Anomaly, NPL
-0.044, 2060-2079, ipsl_cm5a_mr, May Anomaly, NPL
-0.1046, 2060-2079, ipsl_cm5a_mr, Oct Anomaly, NPL
-1.5283, 2060-2079, ipsl_cm5a_mr, Nov Anomaly, NPL
-2.6515, 2060-2079, ipsl_cm5a_mr, Dec Anomaly, NPL
-2.7287, 2060-2079, miroc5, Jan Anomaly, NPL
-3.2901, 2060-2079, miroc5, Feb Anomaly, NPL
-2.2134, 2060-2079, miroc5, Mar Anomaly, NPL
-0.2401, 2060-2079, miroc5, Apr Anomaly, NPL
-0.002, 2060-2079, miroc5, May Anomaly, NPL
-0.0093, 2060-2079, miroc5, Oct Anomaly, NPL
-0.5952, 2060-2079, miroc5, Nov Anomaly, NPL
-2.6226, 2060-2079, miroc5, Dec Anomaly, NPL
-5.0949, 2060-2079, miroc_esm_chem, Jan Anomaly, NPL
-4.1534, 2060-2079, miroc_esm_chem, Feb Anomaly, NPL
-1.5395, 2060-2079, miroc_esm_chem, Mar Anomaly, NPL
-0.1522, 2060-2079, miroc_esm_chem, Apr Anomaly, NPL
-0.0071, 2060-2079, miroc_esm_chem, May Anomaly, NPL
-0.006, 2060-2079, miroc_esm_chem, Oct Anomaly, NPL
-1.2024, 2060-2079, miroc_esm_chem, Nov Anomaly, NPL
-4.6721, 2060-2079, miroc_esm_chem, Dec Anomaly, NPL
-2.8875, 2060-2079, miroc_esm, Jan Anomaly, NPL
-3.1004, 2060-2079, miroc_esm, Feb Anomaly, NPL
-1.2016, 2060-2079, miroc_esm, Mar Anomaly, NPL
-0.1679, 2060-2079, miroc_esm, Apr Anomaly, NPL
-0.0049, 2060-2079, miroc_esm, May Anomaly, NPL
-0.0037, 2060-2079, miroc_esm, Oct Anomaly, NPL
-1.1026, 2060-2079, miroc_esm, Nov Anomaly, NPL
-3.7312, 2060-2079, miroc_esm, Dec Anomaly, NPL
-1.446, 2060-2079, mri_cgcm3, Jan Anomaly, NPL
-1.5715, 2060-2079, mri_cgcm3, Feb Anomaly, NPL
-1.6722, 2060-2079, mri_cgcm3, Mar Anomaly, NPL
-0.1745, 2060-2079, mri_cgcm3, Apr Anomaly, NPL
-3.0E-4, 2060-2079, mri_cgcm3, May Anomaly, NPL
-0.0663, 2060-2079, mri_cgcm3, Oct Anomaly, NPL
-1.7999, 2060-2079, mri_cgcm3, Nov Anomaly, NPL
-3.1078, 2060-2079, mri_cgcm3, Dec Anomaly, NPL
-1.8195, 2060-2079, noresm1_m, Jan Anomaly, NPL
-2.1399, 2060-2079, noresm1_m, Feb Anomaly, NPL
-2.0954, 2060-2079, noresm1_m, Mar Anomaly, NPL
-0.232, 2060-2079, noresm1_m, Apr Anomaly, NPL
-0.0448, 2060-2079, noresm1_m, Oct Anomaly, NPL
-1.697, 2060-2079, noresm1_m, Nov Anomaly, NPL
-2.4544, 2060-2079, noresm1_m, Dec Anomaly, NPL
-4.7152, 2060-2079, Ensemble (10th Percentile), Jan Anomaly, NPL
-3.8979, 2060-2079, Ensemble (10th Percentile), Feb Anomaly, NPL
-2.2474, 2060-2079, Ensemble (10th Percentile), Mar Anomaly, NPL
-0.2842, 2060-2079, Ensemble (10th Percentile), Apr Anomaly, NPL
-0.0047, 2060-2079, Ensemble (10th Percentile), May Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Jun Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Jul Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Aug Anomaly, NPL
0.0, 2060-2079, Ensemble (10th Percentile), Sep Anomaly, NPL
-0.0696, 2060-2079, Ensemble (10th Percentile), Oct Anomaly, NPL
-1.9185, 2060-2079, Ensemble (10th Percentile), Nov Anomaly, NPL
-4.666, 2060-2079, Ensemble (10th Percentile), Dec Anomaly, NPL
-2.5677, 2060-2079, Ensemble (50th Percentile), Jan Anomaly, NPL
-2.4488, 2060-2079, Ensemble (50th Percentile), Feb Anomaly, NPL
-1.6436, 2060-2079, Ensemble (50th Percentile), Mar Anomaly, NPL
-0.2448, 2060-2079, Ensemble (50th Percentile), Apr Anomaly, NPL
-0.0047, 2060-2079, Ensemble (50th Percentile), May Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Jun Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Jul Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Aug Anomaly, NPL
0.0, 2060-2079, Ensemble (50th Percentile), Sep Anomaly, NPL
-0.0681, 2060-2079, Ensemble (50th Percentile), Oct Anomaly, NPL
-1.5737, 2060-2079, Ensemble (50th Percentile), Nov Anomaly, NPL
