Number of Ice Days (Tmax < 0°C) - (Days), Year, Model, Statistics, ISO3
-3.3836, 2060-2079, access1_0, Jan Anomaly, NPL
-3.2217, 2060-2079, access1_0, Feb Anomaly, NPL
-1.7651, 2060-2079, access1_0, Mar Anomaly, NPL
-0.188, 2060-2079, access1_0, Apr Anomaly, NPL
-0.001, 2060-2079, access1_0, May Anomaly, NPL
-0.1029, 2060-2079, access1_0, Oct Anomaly, NPL
-1.4157, 2060-2079, access1_0, Nov Anomaly, NPL
-3.2631, 2060-2079, access1_0, Dec Anomaly, NPL
-3.3458, 2060-2079, access1_3, Jan Anomaly, NPL
-2.6835, 2060-2079, access1_3, Feb Anomaly, NPL
-1.5415, 2060-2079, access1_3, Mar Anomaly, NPL
-0.2799, 2060-2079, access1_3, Apr Anomaly, NPL
-0.0036, 2060-2079, access1_3, May Anomaly, NPL
-0.074, 2060-2079, access1_3, Oct Anomaly, NPL
-1.4465, 2060-2079, access1_3, Nov Anomaly, NPL
-4.2957, 2060-2079, access1_3, Dec Anomaly, NPL
-2.8354, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-1.6478, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-1.4397, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.2191, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
-0.0087, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.014, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
-0.2372, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-1.6605, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-2.9015, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
-0.7951, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.9404, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
-1.7481, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
-0.1154, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.0011, 2060-2079, bcc_csm1_1, May Anomaly, NPL
0.00857, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
-0.1965, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
-0.9892, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
-1.0593, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
