Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.7805, 2040-2059, access1_0, Jan Anomaly, NPL
-1.5751, 2040-2059, access1_0, Feb Anomaly, NPL
-0.7894, 2040-2059, access1_0, Mar Anomaly, NPL
-1.1802, 2040-2059, access1_0, Apr Anomaly, NPL
3.45866, 2040-2059, access1_0, May Anomaly, NPL
5.71987, 2040-2059, access1_0, Jun Anomaly, NPL
6.02437, 2040-2059, access1_0, Jul Anomaly, NPL
5.41794, 2040-2059, access1_0, Aug Anomaly, NPL
6.02561, 2040-2059, access1_0, Sep Anomaly, NPL
-11.702, 2040-2059, access1_0, Oct Anomaly, NPL
-1.1688, 2040-2059, access1_0, Nov Anomaly, NPL
-0.9645, 2040-2059, access1_0, Dec Anomaly, NPL
-0.3797, 2040-2059, access1_3, Jan Anomaly, NPL
-0.744, 2040-2059, access1_3, Feb Anomaly, NPL
-0.478, 2040-2059, access1_3, Mar Anomaly, NPL
-5.3895, 2040-2059, access1_3, Apr Anomaly, NPL
-2.5562, 2040-2059, access1_3, May Anomaly, NPL
3.25024, 2040-2059, access1_3, Jun Anomaly, NPL
4.46709, 2040-2059, access1_3, Jul Anomaly, NPL
4.74002, 2040-2059, access1_3, Aug Anomaly, NPL
1.41477, 2040-2059, access1_3, Sep Anomaly, NPL
2.88475, 2040-2059, access1_3, Oct Anomaly, NPL
-0.5089, 2040-2059, access1_3, Nov Anomaly, NPL
-0.7427, 2040-2059, access1_3, Dec Anomaly, NPL
-0.4695, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
-0.363, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
-0.372, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
-0.9885, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
-0.2489, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
0.47356, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
-1.0678, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
-2.8217, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
-0.9885, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.88588, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
-0.8323, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0249, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
-0.7055, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.35982, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
0.38144, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
-1.0998, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
0.17478, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.31491, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
-0.2715, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
2.62586, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
3.25978, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
0.88521, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
0.32328, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
0.35444, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
-0.0148, 2040-2059, bnu_esm, Jan Anomaly, NPL
0.31955, 2040-2059, bnu_esm, Feb Anomaly, NPL
