Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
0.38953, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
-0.0804, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
-0.3173, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
-0.8291, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
0.98744, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
0.43443, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
-3.8869, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
-7.1976, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
-3.1703, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.18431, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
-0.2942, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
-0.0383, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
0.11793, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
-0.3266, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
-0.0243, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
-0.6129, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
0.3558, 2080-2099, bcc_csm1_1, May Anomaly, NPL
1.49943, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
-1.5665, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
2.97077, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
2.971, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
-0.6851, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
-0.2006, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
-0.1478, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
0.48904, 2080-2099, ccsm4, Jan Anomaly, NPL
-0.1753, 2080-2099, ccsm4, Feb Anomaly, NPL
-0.7989, 2080-2099, ccsm4, Mar Anomaly, NPL
0.3607, 2080-2099, ccsm4, Apr Anomaly, NPL
-1.2929, 2080-2099, ccsm4, May Anomaly, NPL
-4.5788, 2080-2099, ccsm4, Jun Anomaly, NPL
-3.8807, 2080-2099, ccsm4, Jul Anomaly, NPL
-2.8168, 2080-2099, ccsm4, Aug Anomaly, NPL
0.38975, 2080-2099, ccsm4, Sep Anomaly, NPL
-6.7493, 2080-2099, ccsm4, Oct Anomaly, NPL
0.09626, 2080-2099, ccsm4, Nov Anomaly, NPL
-1.8229, 2080-2099, ccsm4, Dec Anomaly, NPL
-0.791, 2080-2099, cesm1_cam5, Jan Anomaly, NPL
0.37723, 2080-2099, cesm1_cam5, Feb Anomaly, NPL
-0.0917, 2080-2099, cesm1_cam5, Mar Anomaly, NPL
0.08268, 2080-2099, cesm1_cam5, Apr Anomaly, NPL
0.63142, 2080-2099, cesm1_cam5, May Anomaly, NPL
-0.8911, 2080-2099, cesm1_cam5, Jun Anomaly, NPL
-3.9265, 2080-2099, cesm1_cam5, Jul Anomaly, NPL
-4.7446, 2080-2099, cesm1_cam5, Aug Anomaly, NPL
-9.0766, 2080-2099, cesm1_cam5, Sep Anomaly, NPL
-0.4923, 2080-2099, cesm1_cam5, Oct Anomaly, NPL
0.45162, 2080-2099, cesm1_cam5, Nov Anomaly, NPL
-0.1728, 2080-2099, cesm1_cam5, Dec Anomaly, NPL
-0.1648, 2080-2099, csiro_mk3_6_0, Jan Anomaly, NPL
-0.2521, 2080-2099, csiro_mk3_6_0, Feb Anomaly, NPL
0.2947, 2080-2099, csiro_mk3_6_0, Mar Anomaly, NPL
0.90048, 2080-2099, csiro_mk3_6_0, Apr Anomaly, NPL
0.81289, 2080-2099, csiro_mk3_6_0, May Anomaly, NPL
-0.45, 2080-2099, csiro_mk3_6_0, Jun Anomaly, NPL
-3.217, 2080-2099, csiro_mk3_6_0, Jul Anomaly, NPL
-2.8578, 2080-2099, csiro_mk3_6_0, Aug Anomaly, NPL
4.07153, 2080-2099, csiro_mk3_6_0, Sep Anomaly, NPL
3.44171, 2080-2099, csiro_mk3_6_0, Oct Anomaly, NPL
0.28487, 2080-2099, csiro_mk3_6_0, Nov Anomaly, NPL
0.10794, 2080-2099, csiro_mk3_6_0, Dec Anomaly, NPL
-0.4558, 2080-2099, gfdl_cm3, Jan Anomaly, NPL
-0.6004, 2080-2099, gfdl_cm3, Feb Anomaly, NPL
0.57864, 2080-2099, gfdl_cm3, Mar Anomaly, NPL
-0.1488, 2080-2099, gfdl_cm3, Apr Anomaly, NPL
0.52598, 2080-2099, gfdl_cm3, May Anomaly, NPL
4.76885, 2080-2099, gfdl_cm3, Jun Anomaly, NPL
11.8515, 2080-2099, gfdl_cm3, Jul Anomaly, NPL
14.8659, 2080-2099, gfdl_cm3, Aug Anomaly, NPL
24.8107, 2080-2099, gfdl_cm3, Sep Anomaly, NPL
38.0296, 2080-2099, gfdl_cm3, Oct Anomaly, NPL
0.39658, 2080-2099, gfdl_cm3, Nov Anomaly, NPL
-0.619, 2080-2099, gfdl_cm3, Dec Anomaly, NPL
-1.0956, 2080-2099, gfdl_esm2g, Jan Anomaly, NPL
-0.5237, 2080-2099, gfdl_esm2g, Feb Anomaly, NPL
-0.1206, 2080-2099, gfdl_esm2g, Mar Anomaly, NPL
0.54625, 2080-2099, gfdl_esm2g, Apr Anomaly, NPL
1.55868, 2080-2099, gfdl_esm2g, May Anomaly, NPL
0.41809, 2080-2099, gfdl_esm2g, Jun Anomaly, NPL
0.64387, 2080-2099, gfdl_esm2g, Jul Anomaly, NPL
-2.4206, 2080-2099, gfdl_esm2g, Aug Anomaly, NPL
-9.3331, 2080-2099, gfdl_esm2g, Sep Anomaly, NPL
-16.393, 2080-2099, gfdl_esm2g, Oct Anomaly, NPL
0.05582, 2080-2099, gfdl_esm2g, Nov Anomaly, NPL
0.47439, 2080-2099, gfdl_esm2g, Dec Anomaly, NPL
0.46906, 2080-2099, gfdl_esm2m, Jan Anomaly, NPL
-0.9165, 2080-2099, gfdl_esm2m, Feb Anomaly, NPL
-0.2145, 2080-2099, gfdl_esm2m, Mar Anomaly, NPL
-1.1058, 2080-2099, gfdl_esm2m, Apr Anomaly, NPL
-1.7723, 2080-2099, gfdl_esm2m, May Anomaly, NPL
-2.4995, 2080-2099, gfdl_esm2m, Jun Anomaly, NPL
-1.2064, 2080-2099, gfdl_esm2m, Jul Anomaly, NPL
-3.6519, 2080-2099, gfdl_esm2m, Aug Anomaly, NPL
-4.3989, 2080-2099, gfdl_esm2m, Sep Anomaly, NPL
-0.3737, 2080-2099, gfdl_esm2m, Oct Anomaly, NPL
1.38626, 2080-2099, gfdl_esm2m, Nov Anomaly, NPL
0.0681, 2080-2099, gfdl_esm2m, Dec Anomaly, NPL
-0.7082, 2080-2099, hadgem2_ao, Jan Anomaly, NPL
-1.0497, 2080-2099, hadgem2_ao, Feb Anomaly, NPL
-2.412, 2080-2099, hadgem2_ao, Mar Anomaly, NPL
-3.6865, 2080-2099, hadgem2_ao, Apr Anomaly, NPL
-0.9171, 2080-2099, hadgem2_ao, May Anomaly, NPL
0.16581, 2080-2099, hadgem2_ao, Jun Anomaly, NPL
0.4507, 2080-2099, hadgem2_ao, Jul Anomaly, NPL
0.1226, 2080-2099, hadgem2_ao, Aug Anomaly, NPL
3.84021, 2080-2099, hadgem2_ao, Sep Anomaly, NPL
19.3289, 2080-2099, hadgem2_ao, Oct Anomaly, NPL
-0.8213, 2080-2099, hadgem2_ao, Nov Anomaly, NPL
-0.897, 2080-2099, hadgem2_ao, Dec Anomaly, NPL
-0.0821, 2080-2099, hadgem2_es, Jan Anomaly, NPL
-0.8652, 2080-2099, hadgem2_es, Feb Anomaly, NPL
-1.9594, 2080-2099, hadgem2_es, Mar Anomaly, NPL
-2.4767, 2080-2099, hadgem2_es, Apr Anomaly, NPL
-1.8507, 2080-2099, hadgem2_es, May Anomaly, NPL
-7.5336, 2080-2099, hadgem2_es, Jun Anomaly, NPL
-9.9123, 2080-2099, hadgem2_es, Jul Anomaly, NPL
-10.831, 2080-2099, hadgem2_es, Aug Anomaly, NPL
-6.4706, 2080-2099, hadgem2_es, Sep Anomaly, NPL
16.4779, 2080-2099, hadgem2_es, Oct Anomaly, NPL
-1.4865, 2080-2099, hadgem2_es, Nov Anomaly, NPL
-0.99, 2080-2099, hadgem2_es, Dec Anomaly, NPL
-0.7081, 2080-2099, miroc5, Jan Anomaly, NPL
-0.9313, 2080-2099, miroc5, Feb Anomaly, NPL
0.14694, 2080-2099, miroc5, Mar Anomaly, NPL
1.74083, 2080-2099, miroc5, Apr Anomaly, NPL
1.45355, 2080-2099, miroc5, May Anomaly, NPL
4.66692, 2080-2099, miroc5, Jun Anomaly, NPL
4.59368, 2080-2099, miroc5, Jul Anomaly, NPL
2.45188, 2080-2099, miroc5, Aug Anomaly, NPL
-2.9337, 2080-2099, miroc5, Sep Anomaly, NPL
3.28377, 2080-2099, miroc5, Oct Anomaly, NPL
1.81082, 2080-2099, miroc5, Nov Anomaly, NPL
0.17392, 2080-2099, miroc5, Dec Anomaly, NPL
0.70617, 2080-2099, miroc_esm, Jan Anomaly, NPL
-0.7903, 2080-2099, miroc_esm, Feb Anomaly, NPL
-0.1921, 2080-2099, miroc_esm, Mar Anomaly, NPL
-0.0722, 2080-2099, miroc_esm, Apr Anomaly, NPL
0.1071, 2080-2099, miroc_esm, May Anomaly, NPL
3.24549, 2080-2099, miroc_esm, Jun Anomaly, NPL
8.90167, 2080-2099, miroc_esm, Jul Anomaly, NPL
8.70155, 2080-2099, miroc_esm, Aug Anomaly, NPL
14.3575, 2080-2099, miroc_esm, Sep Anomaly, NPL
2.74064, 2080-2099, miroc_esm, Oct Anomaly, NPL
-0.5798, 2080-2099, miroc_esm, Nov Anomaly, NPL
0.35975, 2080-2099, miroc_esm, Dec Anomaly, NPL
-0.3404, 2080-2099, mri_cgcm3, Jan Anomaly, NPL
0.115, 2080-2099, mri_cgcm3, Feb Anomaly, NPL
-0.2001, 2080-2099, mri_cgcm3, Mar Anomaly, NPL
-0.4508, 2080-2099, mri_cgcm3, Apr Anomaly, NPL
0.61959, 2080-2099, mri_cgcm3, May Anomaly, NPL
0.28678, 2080-2099, mri_cgcm3, Jun Anomaly, NPL
-0.1008, 2080-2099, mri_cgcm3, Jul Anomaly, NPL
-3.8188, 2080-2099, mri_cgcm3, Aug Anomaly, NPL
1.97871, 2080-2099, mri_cgcm3, Sep Anomaly, NPL
-0.3061, 2080-2099, mri_cgcm3, Oct Anomaly, NPL
-0.6881, 2080-2099, mri_cgcm3, Nov Anomaly, NPL
-0.6783, 2080-2099, mri_cgcm3, Dec Anomaly, NPL
-0.0669, 2080-2099, noresm1_m, Jan Anomaly, NPL
0.22814, 2080-2099, noresm1_m, Feb Anomaly, NPL
0.2745, 2080-2099, noresm1_m, Mar Anomaly, NPL
-0.4773, 2080-2099, noresm1_m, Apr Anomaly, NPL
0.83843, 2080-2099, noresm1_m, May Anomaly, NPL
2.49487, 2080-2099, noresm1_m, Jun Anomaly, NPL
2.25807, 2080-2099, noresm1_m, Jul Anomaly, NPL
-1.5075, 2080-2099, noresm1_m, Aug Anomaly, NPL
0.85931, 2080-2099, noresm1_m, Sep Anomaly, NPL
6.33752, 2080-2099, noresm1_m, Oct Anomaly, NPL
0.34152, 2080-2099, noresm1_m, Nov Anomaly, NPL
0.05974, 2080-2099, noresm1_m, Dec Anomaly, NPL
-1.3249, 2080-2099, Ensemble (10th Percentile), Jan Anomaly, NPL
-1.4009, 2080-2099, Ensemble (10th Percentile), Feb Anomaly, NPL
-1.4578, 2080-2099, Ensemble (10th Percentile), Mar Anomaly, NPL
-1.679, 2080-2099, Ensemble (10th Percentile), Apr Anomaly, NPL
-3.6641, 2080-2099, Ensemble (10th Percentile), May Anomaly, NPL
-9.7127, 2080-2099, Ensemble (10th Percentile), Jun Anomaly, NPL
-22.559, 2080-2099, Ensemble (10th Percentile), Jul Anomaly, NPL
-39.352, 2080-2099, Ensemble (10th Percentile), Aug Anomaly, NPL
-49.882, 2080-2099, Ensemble (10th Percentile), Sep Anomaly, NPL
-14.51, 2080-2099, Ensemble (10th Percentile), Oct Anomaly, NPL
-1.7873, 2080-2099, Ensemble (10th Percentile), Nov Anomaly, NPL
-1.4041, 2080-2099, Ensemble (10th Percentile), Dec Anomaly, NPL
