Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
0.02171, 2020-2039, bcc_csm1_1_m, Jan Anomaly, NPL
-1.0042, 2020-2039, bcc_csm1_1_m, Feb Anomaly, NPL
-0.4458, 2020-2039, bcc_csm1_1_m, Mar Anomaly, NPL
-1.2184, 2020-2039, bcc_csm1_1_m, Apr Anomaly, NPL
0.58785, 2020-2039, bcc_csm1_1_m, May Anomaly, NPL
-0.5312, 2020-2039, bcc_csm1_1_m, Jun Anomaly, NPL
-1.3304, 2020-2039, bcc_csm1_1_m, Jul Anomaly, NPL
-4.574, 2020-2039, bcc_csm1_1_m, Aug Anomaly, NPL
-1.3854, 2020-2039, bcc_csm1_1_m, Sep Anomaly, NPL
-1.1178, 2020-2039, bcc_csm1_1_m, Oct Anomaly, NPL
-0.4082, 2020-2039, bcc_csm1_1_m, Nov Anomaly, NPL
-0.2581, 2020-2039, bcc_csm1_1_m, Dec Anomaly, NPL
-0.5758, 2020-2039, bcc_csm1_1, Jan Anomaly, NPL
0.34609, 2020-2039, bcc_csm1_1, Feb Anomaly, NPL
0.24131, 2020-2039, bcc_csm1_1, Mar Anomaly, NPL
-0.4184, 2020-2039, bcc_csm1_1, Apr Anomaly, NPL
0.2717, 2020-2039, bcc_csm1_1, May Anomaly, NPL
0.76538, 2020-2039, bcc_csm1_1, Jun Anomaly, NPL
-1.6888, 2020-2039, bcc_csm1_1, Jul Anomaly, NPL
2.20073, 2020-2039, bcc_csm1_1, Aug Anomaly, NPL
1.08647, 2020-2039, bcc_csm1_1, Sep Anomaly, NPL
-0.2107, 2020-2039, bcc_csm1_1, Oct Anomaly, NPL
1.0647, 2020-2039, bcc_csm1_1, Nov Anomaly, NPL
0.14823, 2020-2039, bcc_csm1_1, Dec Anomaly, NPL
0.39798, 2020-2039, ccsm4, Jan Anomaly, NPL
-0.3852, 2020-2039, ccsm4, Feb Anomaly, NPL
-0.7447, 2020-2039, ccsm4, Mar Anomaly, NPL
-0.0863, 2020-2039, ccsm4, Apr Anomaly, NPL
-0.4823, 2020-2039, ccsm4, May Anomaly, NPL
-2.2805, 2020-2039, ccsm4, Jun Anomaly, NPL
-5.0603, 2020-2039, ccsm4, Jul Anomaly, NPL
-4.4186, 2020-2039, ccsm4, Aug Anomaly, NPL
-7.8148, 2020-2039, ccsm4, Sep Anomaly, NPL
-15.759, 2020-2039, ccsm4, Oct Anomaly, NPL
-0.5108, 2020-2039, ccsm4, Nov Anomaly, NPL
-1.1103, 2020-2039, ccsm4, Dec Anomaly, NPL
-0.7364, 2020-2039, cesm1_cam5, Jan Anomaly, NPL
0.15788, 2020-2039, cesm1_cam5, Feb Anomaly, NPL
0.32603, 2020-2039, cesm1_cam5, Mar Anomaly, NPL
-0.0201, 2020-2039, cesm1_cam5, Apr Anomaly, NPL
-1.3003, 2020-2039, cesm1_cam5, May Anomaly, NPL
-1.3159, 2020-2039, cesm1_cam5, Jun Anomaly, NPL
-1.3817, 2020-2039, cesm1_cam5, Jul Anomaly, NPL
0.49206, 2020-2039, cesm1_cam5, Aug Anomaly, NPL
-4.757, 2020-2039, cesm1_cam5, Sep Anomaly, NPL
1.06992, 2020-2039, cesm1_cam5, Oct Anomaly, NPL
-0.9552, 2020-2039, cesm1_cam5, Nov Anomaly, NPL
-0.363, 2020-2039, cesm1_cam5, Dec Anomaly, NPL
0.43073, 2020-2039, csiro_mk3_6_0, Jan Anomaly, NPL
0.44166, 2020-2039, csiro_mk3_6_0, Feb Anomaly, NPL
-0.1987, 2020-2039, csiro_mk3_6_0, Mar Anomaly, NPL
-0.5763, 2020-2039, csiro_mk3_6_0, Apr Anomaly, NPL
0.78674, 2020-2039, csiro_mk3_6_0, May Anomaly, NPL
-0.2885, 2020-2039, csiro_mk3_6_0, Jun Anomaly, NPL
-1.9411, 2020-2039, csiro_mk3_6_0, Jul Anomaly, NPL
-0.1556, 2020-2039, csiro_mk3_6_0, Aug Anomaly, NPL
4.11386, 2020-2039, csiro_mk3_6_0, Sep Anomaly, NPL
0.44598, 2020-2039, csiro_mk3_6_0, Oct Anomaly, NPL
0.05969, 2020-2039, csiro_mk3_6_0, Nov Anomaly, NPL
-0.4625, 2020-2039, csiro_mk3_6_0, Dec Anomaly, NPL
0.47726, 2020-2039, gfdl_cm3, Jan Anomaly, NPL
0.30919, 2020-2039, gfdl_cm3, Feb Anomaly, NPL
0.50894, 2020-2039, gfdl_cm3, Mar Anomaly, NPL
-0.5328, 2020-2039, gfdl_cm3, Apr Anomaly, NPL
0.11692, 2020-2039, gfdl_cm3, May Anomaly, NPL
3.328, 2020-2039, gfdl_cm3, Jun Anomaly, NPL
7.20475, 2020-2039, gfdl_cm3, Jul Anomaly, NPL
7.95243, 2020-2039, gfdl_cm3, Aug Anomaly, NPL
12.5477, 2020-2039, gfdl_cm3, Sep Anomaly, NPL
