Maximum Length of Consecutive Wet Spell - (Days), Year, Model, Statistics, ISO3
-0.974, 2060-2079, access1_0, Jan Anomaly, NPL
-0.8484, 2060-2079, access1_0, Feb Anomaly, NPL
-1.8287, 2060-2079, access1_0, Mar Anomaly, NPL
-2.483, 2060-2079, access1_0, Apr Anomaly, NPL
0.75273, 2060-2079, access1_0, May Anomaly, NPL
5.28637, 2060-2079, access1_0, Jun Anomaly, NPL
4.2454, 2060-2079, access1_0, Jul Anomaly, NPL
3.95547, 2060-2079, access1_0, Aug Anomaly, NPL
8.32763, 2060-2079, access1_0, Sep Anomaly, NPL
-5.2308, 2060-2079, access1_0, Oct Anomaly, NPL
-1.5084, 2060-2079, access1_0, Nov Anomaly, NPL
-1.1486, 2060-2079, access1_0, Dec Anomaly, NPL
-0.5129, 2060-2079, access1_3, Jan Anomaly, NPL
-0.9697, 2060-2079, access1_3, Feb Anomaly, NPL
-1.0874, 2060-2079, access1_3, Mar Anomaly, NPL
-4.4736, 2060-2079, access1_3, Apr Anomaly, NPL
-1.4791, 2060-2079, access1_3, May Anomaly, NPL
4.38218, 2060-2079, access1_3, Jun Anomaly, NPL
5.15365, 2060-2079, access1_3, Jul Anomaly, NPL
5.21796, 2060-2079, access1_3, Aug Anomaly, NPL
4.13442, 2060-2079, access1_3, Sep Anomaly, NPL
5.99292, 2060-2079, access1_3, Oct Anomaly, NPL
0.07371, 2060-2079, access1_3, Nov Anomaly, NPL
-1.0914, 2060-2079, access1_3, Dec Anomaly, NPL
-0.7095, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
-0.1813, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
-0.5465, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
-0.9194, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
0.75841, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
-0.0414, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
-0.2706, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
-3.6302, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
-0.9183, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
0.74891, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
-0.37, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
-0.8635, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
0.45746, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
-0.4837, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
0.07531, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
0.03905, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
-0.01, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.10543, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
-0.9855, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
3.45474, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
2.58407, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.17981, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
0.56502, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
0.8339, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
-1.285, 2060-2079, bnu_esm, Jan Anomaly, NPL
-1.3267, 2060-2079, bnu_esm, Feb Anomaly, NPL
0.514, 2060-2079, bnu_esm, Mar Anomaly, NPL
1.23921, 2060-2079, bnu_esm, Apr Anomaly, NPL
-0.3745, 2060-2079, bnu_esm, May Anomaly, NPL
-2.591, 2060-2079, bnu_esm, Jun Anomaly, NPL
-4.7748, 2060-2079, bnu_esm, Jul Anomaly, NPL
-7.9593, 2060-2079, bnu_esm, Aug Anomaly, NPL
-3.923, 2060-2079, bnu_esm, Sep Anomaly, NPL
8.30188, 2060-2079, bnu_esm, Oct Anomaly, NPL
-0.1656, 2060-2079, bnu_esm, Nov Anomaly, NPL
-0.1084, 2060-2079, bnu_esm, Dec Anomaly, NPL
-0.3933, 2060-2079, canesm2, Jan Anomaly, NPL
0.45762, 2060-2079, canesm2, Feb Anomaly, NPL
0.2312, 2060-2079, canesm2, Mar Anomaly, NPL
0.09961, 2060-2079, canesm2, Apr Anomaly, NPL
-0.8132, 2060-2079, canesm2, May Anomaly, NPL
-3.2538, 2060-2079, canesm2, Jun Anomaly, NPL
0.14041, 2060-2079, canesm2, Jul Anomaly, NPL
-5.0264, 2060-2079, canesm2, Aug Anomaly, NPL
-11.6, 2060-2079, canesm2, Sep Anomaly, NPL
5.28244, 2060-2079, canesm2, Oct Anomaly, NPL
-0.4983, 2060-2079, canesm2, Nov Anomaly, NPL
-0.0576, 2060-2079, canesm2, Dec Anomaly, NPL
0.77485, 2060-2079, ccsm4, Jan Anomaly, NPL
-0.4859, 2060-2079, ccsm4, Feb Anomaly, NPL
-0.1563, 2060-2079, ccsm4, Mar Anomaly, NPL
0.45568, 2060-2079, ccsm4, Apr Anomaly, NPL
-1.1249, 2060-2079, ccsm4, May Anomaly, NPL
-1.8984, 2060-2079, ccsm4, Jun Anomaly, NPL
-1.3694, 2060-2079, ccsm4, Jul Anomaly, NPL
0.73364, 2060-2079, ccsm4, Aug Anomaly, NPL
-3.3817, 2060-2079, ccsm4, Sep Anomaly, NPL
-12.925, 2060-2079, ccsm4, Oct Anomaly, NPL
-0.7905, 2060-2079, ccsm4, Nov Anomaly, NPL
-1.4192, 2060-2079, ccsm4, Dec Anomaly, NPL
-0.0521, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
-0.283, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
0.14236, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
-0.4443, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
-0.3153, 2060-2079, cesm1_bgc, May Anomaly, NPL
-0.8723, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
-4.5556, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
-6.6218, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
-12.203, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
0.54767, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
-0.4517, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
-0.2367, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
-0.3032, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
0.10247, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
0.80592, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
0.49104, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
1.51169, 2060-2079, cesm1_cam5, May Anomaly, NPL
1.97956, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
-0.1674, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
-0.8355, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
-2.1968, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
2.58086, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
-0.861, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
0.25914, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
-1.1472, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
0.40202, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
-0.0879, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
0.95164, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
3.79513, 2060-2079, cnrm_cm5, May Anomaly, NPL
2.91584, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
5.13021, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
5.98267, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
4.52049, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
1.85906, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
-1.2658, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
-0.2348, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
-0.6998, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
0.07895, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
-0.0914, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
0.33269, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
1.32346, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
1.08536, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
-0.1954, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.3389, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
8.35446, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
4.80215, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
0.28619, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
0.3588, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
0.1266, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
-0.1168, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
0.29586, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
-0.5762, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
0.11407, 2060-2079, gfdl_cm3, May Anomaly, NPL
4.89852, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
7.17077, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
9.93477, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
20.9584, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
28.2702, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
0.79757, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
-1.15, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
0.07634, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
-0.1568, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
-0.4284, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
-0.5412, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
-0.4782, 2060-2079, gfdl_esm2g, May Anomaly, NPL
-0.4256, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
-0.9102, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
-2.4428, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
-3.8673, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
-15.431, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
2.41594, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
0.22646, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
1.16629, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
-0.6308, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
0.09849, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
-0.2971, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
-0.2669, 2060-2079, gfdl_esm2m, May Anomaly, NPL
0.07347, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
-1.4056, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
-4.7119, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
-4.4409, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
9.07898, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
0.98771, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
0.64958, 2060-2079, gfdl_esm2m, Dec Anomaly, NPL
-0.9496, 2060-2079, hadgem2_ao, Jan Anomaly, NPL
-1.6045, 2060-2079, hadgem2_ao, Feb Anomaly, NPL
-1.4386, 2060-2079, hadgem2_ao, Mar Anomaly, NPL
-0.6416, 2060-2079, hadgem2_ao, Apr Anomaly, NPL
-3.4847, 2060-2079, hadgem2_ao, May Anomaly, NPL
-7.2927, 2060-2079, hadgem2_ao, Jun Anomaly, NPL
-5.8373, 2060-2079, hadgem2_ao, Jul Anomaly, NPL
-6.8752, 2060-2079, hadgem2_ao, Aug Anomaly, NPL
-0.8922, 2060-2079, hadgem2_ao, Sep Anomaly, NPL
23.6672, 2060-2079, hadgem2_ao, Oct Anomaly, NPL
-1.1416, 2060-2079, hadgem2_ao, Nov Anomaly, NPL
-0.9892, 2060-2079, hadgem2_ao, Dec Anomaly, NPL
-0.8253, 2060-2079, hadgem2_cc, Jan Anomaly, NPL
-0.2902, 2060-2079, hadgem2_cc, Feb Anomaly, NPL
-1.5682, 2060-2079, hadgem2_cc, Mar Anomaly, NPL
-4.7834, 2060-2079, hadgem2_cc, Apr Anomaly, NPL
-5.8285, 2060-2079, hadgem2_cc, May Anomaly, NPL
-6.952, 2060-2079, hadgem2_cc, Jun Anomaly, NPL
-7.9521, 2060-2079, hadgem2_cc, Jul Anomaly, NPL
-7.4865, 2060-2079, hadgem2_cc, Aug Anomaly, NPL
4.64016, 2060-2079, hadgem2_cc, Sep Anomaly, NPL
12.8398, 2060-2079, hadgem2_cc, Oct Anomaly, NPL
-1.7609, 2060-2079, hadgem2_cc, Nov Anomaly, NPL
-0.5082, 2060-2079, hadgem2_cc, Dec Anomaly, NPL
-0.5047, 2060-2079, inmcm4, Jan Anomaly, NPL
-0.0137, 2060-2079, inmcm4, Feb Anomaly, NPL
0.39572, 2060-2079, inmcm4, Mar Anomaly, NPL
0.63077, 2060-2079, inmcm4, Apr Anomaly, NPL
0.82344, 2060-2079, inmcm4, May Anomaly, NPL
2.35167, 2060-2079, inmcm4, Jun Anomaly, NPL
3.81852, 2060-2079, inmcm4, Jul Anomaly, NPL
5.63274, 2060-2079, inmcm4, Aug Anomaly, NPL
