Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
4.24965, 2080-2099, access1_0, Jan Anomaly, NPL
4.12021, 2080-2099, access1_0, Feb Anomaly, NPL
4.24775, 2080-2099, access1_0, Mar Anomaly, NPL
3.62101, 2080-2099, access1_0, Apr Anomaly, NPL
2.16503, 2080-2099, access1_0, May Anomaly, NPL
1.63717, 2080-2099, access1_0, Jun Anomaly, NPL
2.12957, 2080-2099, access1_0, Jul Anomaly, NPL
2.217, 2080-2099, access1_0, Aug Anomaly, NPL
2.62118, 2080-2099, access1_0, Sep Anomaly, NPL
2.86104, 2080-2099, access1_0, Oct Anomaly, NPL
3.47454, 2080-2099, access1_0, Nov Anomaly, NPL
3.08112, 2080-2099, access1_0, Dec Anomaly, NPL
2.70087, 2080-2099, access1_3, Jan Anomaly, NPL
3.33946, 2080-2099, access1_3, Feb Anomaly, NPL
5.32172, 2080-2099, access1_3, Mar Anomaly, NPL
5.35161, 2080-2099, access1_3, Apr Anomaly, NPL
5.21527, 2080-2099, access1_3, May Anomaly, NPL
3.59858, 2080-2099, access1_3, Jun Anomaly, NPL
2.44189, 2080-2099, access1_3, Jul Anomaly, NPL
2.02659, 2080-2099, access1_3, Aug Anomaly, NPL
2.55842, 2080-2099, access1_3, Sep Anomaly, NPL
3.06404, 2080-2099, access1_3, Oct Anomaly, NPL
1.99516, 2080-2099, access1_3, Nov Anomaly, NPL
2.76833, 2080-2099, access1_3, Dec Anomaly, NPL
2.01423, 2080-2099, bcc_csm1_1_m, Jan Anomaly, NPL
1.71921, 2080-2099, bcc_csm1_1_m, Feb Anomaly, NPL
2.28703, 2080-2099, bcc_csm1_1_m, Mar Anomaly, NPL
3.07087, 2080-2099, bcc_csm1_1_m, Apr Anomaly, NPL
2.57769, 2080-2099, bcc_csm1_1_m, May Anomaly, NPL
2.54577, 2080-2099, bcc_csm1_1_m, Jun Anomaly, NPL
2.41532, 2080-2099, bcc_csm1_1_m, Jul Anomaly, NPL
2.99094, 2080-2099, bcc_csm1_1_m, Aug Anomaly, NPL
1.73924, 2080-2099, bcc_csm1_1_m, Sep Anomaly, NPL
2.43869, 2080-2099, bcc_csm1_1_m, Oct Anomaly, NPL
2.8516, 2080-2099, bcc_csm1_1_m, Nov Anomaly, NPL
3.24248, 2080-2099, bcc_csm1_1_m, Dec Anomaly, NPL
3.55611, 2080-2099, bcc_csm1_1, Jan Anomaly, NPL
1.48356, 2080-2099, bcc_csm1_1, Feb Anomaly, NPL
2.10287, 2080-2099, bcc_csm1_1, Mar Anomaly, NPL
2.80439, 2080-2099, bcc_csm1_1, Apr Anomaly, NPL
2.31021, 2080-2099, bcc_csm1_1, May Anomaly, NPL
2.37905, 2080-2099, bcc_csm1_1, Jun Anomaly, NPL
2.04355, 2080-2099, bcc_csm1_1, Jul Anomaly, NPL
0.99002, 2080-2099, bcc_csm1_1, Aug Anomaly, NPL
1.84393, 2080-2099, bcc_csm1_1, Sep Anomaly, NPL
2.42523, 2080-2099, bcc_csm1_1, Oct Anomaly, NPL
1.44516, 2080-2099, bcc_csm1_1, Nov Anomaly, NPL
2.01655, 2080-2099, bcc_csm1_1, Dec Anomaly, NPL
2.74154, 2080-2099, bnu_esm, Jan Anomaly, NPL
3.01294, 2080-2099, bnu_esm, Feb Anomaly, NPL
3.75013, 2080-2099, bnu_esm, Mar Anomaly, NPL
2.52904, 2080-2099, bnu_esm, Apr Anomaly, NPL
2.58186, 2080-2099, bnu_esm, May Anomaly, NPL
2.76191, 2080-2099, bnu_esm, Jun Anomaly, NPL
1.96516, 2080-2099, bnu_esm, Jul Anomaly, NPL
1.84306, 2080-2099, bnu_esm, Aug Anomaly, NPL
1.32446, 2080-2099, bnu_esm, Sep Anomaly, NPL
1.59429, 2080-2099, bnu_esm, Oct Anomaly, NPL
2.54221, 2080-2099, bnu_esm, Nov Anomaly, NPL
2.50439, 2080-2099, bnu_esm, Dec Anomaly, NPL
2.83363, 2080-2099, canesm2, Jan Anomaly, NPL
1.65164, 2080-2099, canesm2, Feb Anomaly, NPL
2.89091, 2080-2099, canesm2, Mar Anomaly, NPL
2.77707, 2080-2099, canesm2, Apr Anomaly, NPL
3.21044, 2080-2099, canesm2, May Anomaly, NPL
3.26577, 2080-2099, canesm2, Jun Anomaly, NPL
2.92466, 2080-2099, canesm2, Jul Anomaly, NPL
2.19605, 2080-2099, canesm2, Aug Anomaly, NPL
2.02209, 2080-2099, canesm2, Sep Anomaly, NPL
2.13373, 2080-2099, canesm2, Oct Anomaly, NPL
2.03916, 2080-2099, canesm2, Nov Anomaly, NPL
3.05926, 2080-2099, canesm2, Dec Anomaly, NPL
2.55952, 2080-2099, ccsm4, Jan Anomaly, NPL
2.51861, 2080-2099, ccsm4, Feb Anomaly, NPL
3.30609, 2080-2099, ccsm4, Mar Anomaly, NPL
3.27674, 2080-2099, ccsm4, Apr Anomaly, NPL
2.08678, 2080-2099, ccsm4, May Anomaly, NPL
2.28246, 2080-2099, ccsm4, Jun Anomaly, NPL
2.50389, 2080-2099, ccsm4, Jul Anomaly, NPL
2.28095, 2080-2099, ccsm4, Aug Anomaly, NPL
