Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
4.39298, 2060-2079, access1_0, Jan Anomaly, NPL
5.0641, 2060-2079, access1_0, Feb Anomaly, NPL
5.32109, 2060-2079, access1_0, Mar Anomaly, NPL
4.23589, 2060-2079, access1_0, Apr Anomaly, NPL
2.80975, 2060-2079, access1_0, May Anomaly, NPL
2.46631, 2060-2079, access1_0, Jun Anomaly, NPL
2.65489, 2060-2079, access1_0, Jul Anomaly, NPL
3.07444, 2060-2079, access1_0, Aug Anomaly, NPL
3.29049, 2060-2079, access1_0, Sep Anomaly, NPL
3.80119, 2060-2079, access1_0, Oct Anomaly, NPL
4.28278, 2060-2079, access1_0, Nov Anomaly, NPL
4.41023, 2060-2079, access1_0, Dec Anomaly, NPL
4.06258, 2060-2079, access1_3, Jan Anomaly, NPL
4.40679, 2060-2079, access1_3, Feb Anomaly, NPL
5.30929, 2060-2079, access1_3, Mar Anomaly, NPL
4.21641, 2060-2079, access1_3, Apr Anomaly, NPL
4.32741, 2060-2079, access1_3, May Anomaly, NPL
1.7275, 2060-2079, access1_3, Jun Anomaly, NPL
1.7092, 2060-2079, access1_3, Jul Anomaly, NPL
2.52931, 2060-2079, access1_3, Aug Anomaly, NPL
2.99672, 2060-2079, access1_3, Sep Anomaly, NPL
3.17448, 2060-2079, access1_3, Oct Anomaly, NPL
2.27465, 2060-2079, access1_3, Nov Anomaly, NPL
3.99003, 2060-2079, access1_3, Dec Anomaly, NPL
3.42781, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
2.66363, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
3.38258, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
4.84663, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
4.34136, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
3.84617, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
4.13028, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
3.6915, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
3.19559, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
3.49596, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
3.20573, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
3.27733, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
4.05737, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
2.69541, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
3.20676, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
4.08607, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
3.8098, 2060-2079, bcc_csm1_1, May Anomaly, NPL
3.4114, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
3.78345, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
2.4657, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
3.15588, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
3.57709, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
2.94746, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
2.67052, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
3.8828, 2060-2079, bnu_esm, Jan Anomaly, NPL
4.41594, 2060-2079, bnu_esm, Feb Anomaly, NPL
5.20372, 2060-2079, bnu_esm, Mar Anomaly, NPL
3.69102, 2060-2079, bnu_esm, Apr Anomaly, NPL
3.9988, 2060-2079, bnu_esm, May Anomaly, NPL
4.68923, 2060-2079, bnu_esm, Jun Anomaly, NPL
4.66266, 2060-2079, bnu_esm, Jul Anomaly, NPL
3.00842, 2060-2079, bnu_esm, Aug Anomaly, NPL
2.81916, 2060-2079, bnu_esm, Sep Anomaly, NPL
2.54447, 2060-2079, bnu_esm, Oct Anomaly, NPL
3.32978, 2060-2079, bnu_esm, Nov Anomaly, NPL
3.51018, 2060-2079, bnu_esm, Dec Anomaly, NPL
3.93014, 2060-2079, canesm2, Jan Anomaly, NPL
3.74905, 2060-2079, canesm2, Feb Anomaly, NPL
4.83642, 2060-2079, canesm2, Mar Anomaly, NPL
3.53861, 2060-2079, canesm2, Apr Anomaly, NPL
5.157, 2060-2079, canesm2, May Anomaly, NPL
4.86411, 2060-2079, canesm2, Jun Anomaly, NPL
5.01937, 2060-2079, canesm2, Jul Anomaly, NPL
5.24347, 2060-2079, canesm2, Aug Anomaly, NPL
5.15801, 2060-2079, canesm2, Sep Anomaly, NPL
4.31207, 2060-2079, canesm2, Oct Anomaly, NPL
3.6394, 2060-2079, canesm2, Nov Anomaly, NPL
4.14214, 2060-2079, canesm2, Dec Anomaly, NPL
3.45966, 2060-2079, ccsm4, Jan Anomaly, NPL
3.16375, 2060-2079, ccsm4, Feb Anomaly, NPL
4.98194, 2060-2079, ccsm4, Mar Anomaly, NPL
4.94817, 2060-2079, ccsm4, Apr Anomaly, NPL
3.84298, 2060-2079, ccsm4, May Anomaly, NPL
3.92099, 2060-2079, ccsm4, Jun Anomaly, NPL
4.15733, 2060-2079, ccsm4, Jul Anomaly, NPL
3.16957, 2060-2079, ccsm4, Aug Anomaly, NPL
2.7597, 2060-2079, ccsm4, Sep Anomaly, NPL
3.26543, 2060-2079, ccsm4, Oct Anomaly, NPL
2.47897, 2060-2079, ccsm4, Nov Anomaly, NPL
2.30959, 2060-2079, ccsm4, Dec Anomaly, NPL
2.46969, 2060-2079, cesm1_bgc, Jan Anomaly, NPL
3.81516, 2060-2079, cesm1_bgc, Feb Anomaly, NPL
4.52392, 2060-2079, cesm1_bgc, Mar Anomaly, NPL
3.3441, 2060-2079, cesm1_bgc, Apr Anomaly, NPL
3.65417, 2060-2079, cesm1_bgc, May Anomaly, NPL
3.97953, 2060-2079, cesm1_bgc, Jun Anomaly, NPL
4.14224, 2060-2079, cesm1_bgc, Jul Anomaly, NPL
3.22081, 2060-2079, cesm1_bgc, Aug Anomaly, NPL
3.78079, 2060-2079, cesm1_bgc, Sep Anomaly, NPL
3.32044, 2060-2079, cesm1_bgc, Oct Anomaly, NPL
2.54964, 2060-2079, cesm1_bgc, Nov Anomaly, NPL
2.5189, 2060-2079, cesm1_bgc, Dec Anomaly, NPL
3.86919, 2060-2079, cesm1_cam5, Jan Anomaly, NPL
4.08044, 2060-2079, cesm1_cam5, Feb Anomaly, NPL
2.71685, 2060-2079, cesm1_cam5, Mar Anomaly, NPL
2.71404, 2060-2079, cesm1_cam5, Apr Anomaly, NPL
3.60065, 2060-2079, cesm1_cam5, May Anomaly, NPL
4.80684, 2060-2079, cesm1_cam5, Jun Anomaly, NPL
4.11491, 2060-2079, cesm1_cam5, Jul Anomaly, NPL
3.69498, 2060-2079, cesm1_cam5, Aug Anomaly, NPL
4.13265, 2060-2079, cesm1_cam5, Sep Anomaly, NPL
4.02286, 2060-2079, cesm1_cam5, Oct Anomaly, NPL
3.57468, 2060-2079, cesm1_cam5, Nov Anomaly, NPL
2.66292, 2060-2079, cesm1_cam5, Dec Anomaly, NPL
3.98185, 2060-2079, cmcc_cesm, Jan Anomaly, NPL
3.44894, 2060-2079, cmcc_cesm, Feb Anomaly, NPL
4.66217, 2060-2079, cmcc_cesm, Mar Anomaly, NPL
4.92644, 2060-2079, cmcc_cesm, Apr Anomaly, NPL
4.71442, 2060-2079, cmcc_cesm, May Anomaly, NPL
4.85815, 2060-2079, cmcc_cesm, Jun Anomaly, NPL
4.27545, 2060-2079, cmcc_cesm, Jul Anomaly, NPL
3.68643, 2060-2079, cmcc_cesm, Aug Anomaly, NPL
3.67876, 2060-2079, cmcc_cesm, Sep Anomaly, NPL
3.04529, 2060-2079, cmcc_cesm, Oct Anomaly, NPL
3.46322, 2060-2079, cmcc_cesm, Nov Anomaly, NPL
4.0334, 2060-2079, cmcc_cesm, Dec Anomaly, NPL
3.65879, 2060-2079, cmcc_cm, Jan Anomaly, NPL
4.35451, 2060-2079, cmcc_cm, Feb Anomaly, NPL
4.34179, 2060-2079, cmcc_cm, Mar Anomaly, NPL
4.13724, 2060-2079, cmcc_cm, Apr Anomaly, NPL
4.26015, 2060-2079, cmcc_cm, May Anomaly, NPL
3.17294, 2060-2079, cmcc_cm, Jun Anomaly, NPL
3.80745, 2060-2079, cmcc_cm, Jul Anomaly, NPL
3.53736, 2060-2079, cmcc_cm, Aug Anomaly, NPL
3.24596, 2060-2079, cmcc_cm, Sep Anomaly, NPL
3.2381, 2060-2079, cmcc_cm, Oct Anomaly, NPL
3.30105, 2060-2079, cmcc_cm, Nov Anomaly, NPL
3.90657, 2060-2079, cmcc_cm, Dec Anomaly, NPL
5.17956, 2060-2079, cmcc_cms, Jan Anomaly, NPL
4.87962, 2060-2079, cmcc_cms, Feb Anomaly, NPL
5.97629, 2060-2079, cmcc_cms, Mar Anomaly, NPL
4.85888, 2060-2079, cmcc_cms, Apr Anomaly, NPL
4.87741, 2060-2079, cmcc_cms, May Anomaly, NPL
4.59164, 2060-2079, cmcc_cms, Jun Anomaly, NPL
4.89485, 2060-2079, cmcc_cms, Jul Anomaly, NPL
3.94665, 2060-2079, cmcc_cms, Aug Anomaly, NPL
3.79287, 2060-2079, cmcc_cms, Sep Anomaly, NPL
3.61701, 2060-2079, cmcc_cms, Oct Anomaly, NPL
3.25769, 2060-2079, cmcc_cms, Nov Anomaly, NPL
4.42332, 2060-2079, cmcc_cms, Dec Anomaly, NPL
2.70157, 2060-2079, cnrm_cm5, Jan Anomaly, NPL
2.48572, 2060-2079, cnrm_cm5, Feb Anomaly, NPL
3.15079, 2060-2079, cnrm_cm5, Mar Anomaly, NPL
3.00574, 2060-2079, cnrm_cm5, Apr Anomaly, NPL
2.64216, 2060-2079, cnrm_cm5, May Anomaly, NPL
2.72409, 2060-2079, cnrm_cm5, Jun Anomaly, NPL
2.57907, 2060-2079, cnrm_cm5, Jul Anomaly, NPL
1.94679, 2060-2079, cnrm_cm5, Aug Anomaly, NPL
1.60633, 2060-2079, cnrm_cm5, Sep Anomaly, NPL
2.43264, 2060-2079, cnrm_cm5, Oct Anomaly, NPL
2.08462, 2060-2079, cnrm_cm5, Nov Anomaly, NPL
3.47468, 2060-2079, cnrm_cm5, Dec Anomaly, NPL
4.32877, 2060-2079, csiro_mk3_6_0, Jan Anomaly, NPL
4.93359, 2060-2079, csiro_mk3_6_0, Feb Anomaly, NPL
3.99479, 2060-2079, csiro_mk3_6_0, Mar Anomaly, NPL
3.26194, 2060-2079, csiro_mk3_6_0, Apr Anomaly, NPL
3.25505, 2060-2079, csiro_mk3_6_0, May Anomaly, NPL
3.61055, 2060-2079, csiro_mk3_6_0, Jun Anomaly, NPL
4.40201, 2060-2079, csiro_mk3_6_0, Jul Anomaly, NPL
2.17133, 2060-2079, csiro_mk3_6_0, Aug Anomaly, NPL
2.01279, 2060-2079, csiro_mk3_6_0, Sep Anomaly, NPL
2.05753, 2060-2079, csiro_mk3_6_0, Oct Anomaly, NPL
3.1536, 2060-2079, csiro_mk3_6_0, Nov Anomaly, NPL
3.52737, 2060-2079, csiro_mk3_6_0, Dec Anomaly, NPL
5.71866, 2060-2079, gfdl_cm3, Jan Anomaly, NPL
4.95891, 2060-2079, gfdl_cm3, Feb Anomaly, NPL
4.52399, 2060-2079, gfdl_cm3, Mar Anomaly, NPL
5.4004, 2060-2079, gfdl_cm3, Apr Anomaly, NPL
5.10224, 2060-2079, gfdl_cm3, May Anomaly, NPL
5.05102, 2060-2079, gfdl_cm3, Jun Anomaly, NPL
4.57597, 2060-2079, gfdl_cm3, Jul Anomaly, NPL
4.80965, 2060-2079, gfdl_cm3, Aug Anomaly, NPL
4.5797, 2060-2079, gfdl_cm3, Sep Anomaly, NPL
4.38154, 2060-2079, gfdl_cm3, Oct Anomaly, NPL
5.07488, 2060-2079, gfdl_cm3, Nov Anomaly, NPL
6.1075, 2060-2079, gfdl_cm3, Dec Anomaly, NPL
3.83261, 2060-2079, gfdl_esm2g, Jan Anomaly, NPL
3.22442, 2060-2079, gfdl_esm2g, Feb Anomaly, NPL
4.71813, 2060-2079, gfdl_esm2g, Mar Anomaly, NPL
4.63186, 2060-2079, gfdl_esm2g, Apr Anomaly, NPL
3.48474, 2060-2079, gfdl_esm2g, May Anomaly, NPL
5.39734, 2060-2079, gfdl_esm2g, Jun Anomaly, NPL
4.38191, 2060-2079, gfdl_esm2g, Jul Anomaly, NPL
3.68157, 2060-2079, gfdl_esm2g, Aug Anomaly, NPL
3.22313, 2060-2079, gfdl_esm2g, Sep Anomaly, NPL
3.6735, 2060-2079, gfdl_esm2g, Oct Anomaly, NPL
4.34083, 2060-2079, gfdl_esm2g, Nov Anomaly, NPL
3.79352, 2060-2079, gfdl_esm2g, Dec Anomaly, NPL
4.47818, 2060-2079, gfdl_esm2m, Jan Anomaly, NPL
3.19811, 2060-2079, gfdl_esm2m, Feb Anomaly, NPL
4.22309, 2060-2079, gfdl_esm2m, Mar Anomaly, NPL
4.39924, 2060-2079, gfdl_esm2m, Apr Anomaly, NPL
3.28231, 2060-2079, gfdl_esm2m, May Anomaly, NPL
3.83215, 2060-2079, gfdl_esm2m, Jun Anomaly, NPL
2.64316, 2060-2079, gfdl_esm2m, Jul Anomaly, NPL
4.5578, 2060-2079, gfdl_esm2m, Aug Anomaly, NPL
3.90309, 2060-2079, gfdl_esm2m, Sep Anomaly, NPL
3.66751, 2060-2079, gfdl_esm2m, Oct Anomaly, NPL
4.29837, 2060-2079, gfdl_esm2m, Nov Anomaly, NPL
