Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
3.07478, 2040-2059, access1_0, Jan Anomaly, NPL
2.42667, 2040-2059, access1_0, Feb Anomaly, NPL
2.78251, 2040-2059, access1_0, Mar Anomaly, NPL
2.20079, 2040-2059, access1_0, Apr Anomaly, NPL
0.86942, 2040-2059, access1_0, May Anomaly, NPL
0.90098, 2040-2059, access1_0, Jun Anomaly, NPL
1.16842, 2040-2059, access1_0, Jul Anomaly, NPL
1.56178, 2040-2059, access1_0, Aug Anomaly, NPL
1.40199, 2040-2059, access1_0, Sep Anomaly, NPL
1.65871, 2040-2059, access1_0, Oct Anomaly, NPL
1.91506, 2040-2059, access1_0, Nov Anomaly, NPL
2.2259, 2040-2059, access1_0, Dec Anomaly, NPL
1.33727, 2040-2059, access1_3, Jan Anomaly, NPL
1.29254, 2040-2059, access1_3, Feb Anomaly, NPL
2.39858, 2040-2059, access1_3, Mar Anomaly, NPL
2.67508, 2040-2059, access1_3, Apr Anomaly, NPL
2.82028, 2040-2059, access1_3, May Anomaly, NPL
1.184, 2040-2059, access1_3, Jun Anomaly, NPL
0.35848, 2040-2059, access1_3, Jul Anomaly, NPL
1.21147, 2040-2059, access1_3, Aug Anomaly, NPL
1.5721, 2040-2059, access1_3, Sep Anomaly, NPL
1.73381, 2040-2059, access1_3, Oct Anomaly, NPL
0.72539, 2040-2059, access1_3, Nov Anomaly, NPL
2.14857, 2040-2059, access1_3, Dec Anomaly, NPL
1.5498, 2040-2059, bcc_csm1_1_m, Jan Anomaly, NPL
1.38253, 2040-2059, bcc_csm1_1_m, Feb Anomaly, NPL
2.3453, 2040-2059, bcc_csm1_1_m, Mar Anomaly, NPL
2.87259, 2040-2059, bcc_csm1_1_m, Apr Anomaly, NPL
2.89845, 2040-2059, bcc_csm1_1_m, May Anomaly, NPL
1.58233, 2040-2059, bcc_csm1_1_m, Jun Anomaly, NPL
1.69909, 2040-2059, bcc_csm1_1_m, Jul Anomaly, NPL
2.74922, 2040-2059, bcc_csm1_1_m, Aug Anomaly, NPL
1.71661, 2040-2059, bcc_csm1_1_m, Sep Anomaly, NPL
1.74576, 2040-2059, bcc_csm1_1_m, Oct Anomaly, NPL
1.51255, 2040-2059, bcc_csm1_1_m, Nov Anomaly, NPL
2.00938, 2040-2059, bcc_csm1_1_m, Dec Anomaly, NPL
2.61616, 2040-2059, bcc_csm1_1, Jan Anomaly, NPL
0.78041, 2040-2059, bcc_csm1_1, Feb Anomaly, NPL
2.23457, 2040-2059, bcc_csm1_1, Mar Anomaly, NPL
1.99837, 2040-2059, bcc_csm1_1, Apr Anomaly, NPL
2.16044, 2040-2059, bcc_csm1_1, May Anomaly, NPL
1.99672, 2040-2059, bcc_csm1_1, Jun Anomaly, NPL
1.6319, 2040-2059, bcc_csm1_1, Jul Anomaly, NPL
1.18954, 2040-2059, bcc_csm1_1, Aug Anomaly, NPL
0.99658, 2040-2059, bcc_csm1_1, Sep Anomaly, NPL
1.48747, 2040-2059, bcc_csm1_1, Oct Anomaly, NPL
1.36655, 2040-2059, bcc_csm1_1, Nov Anomaly, NPL
1.48954, 2040-2059, bcc_csm1_1, Dec Anomaly, NPL
1.87665, 2040-2059, bnu_esm, Jan Anomaly, NPL
1.99007, 2040-2059, bnu_esm, Feb Anomaly, NPL
3.05178, 2040-2059, bnu_esm, Mar Anomaly, NPL
2.36246, 2040-2059, bnu_esm, Apr Anomaly, NPL
0.83841, 2040-2059, bnu_esm, May Anomaly, NPL
2.11585, 2040-2059, bnu_esm, Jun Anomaly, NPL
