Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
2.99609, 2060-2079, access1_0, Jan Anomaly, NPL
3.22454, 2060-2079, access1_0, Feb Anomaly, NPL
3.53901, 2060-2079, access1_0, Mar Anomaly, NPL
2.84911, 2060-2079, access1_0, Apr Anomaly, NPL
2.03671, 2060-2079, access1_0, May Anomaly, NPL
1.43083, 2060-2079, access1_0, Jun Anomaly, NPL
1.51915, 2060-2079, access1_0, Jul Anomaly, NPL
1.8119, 2060-2079, access1_0, Aug Anomaly, NPL
1.7425, 2060-2079, access1_0, Sep Anomaly, NPL
2.1833, 2060-2079, access1_0, Oct Anomaly, NPL
2.90469, 2060-2079, access1_0, Nov Anomaly, NPL
2.74616, 2060-2079, access1_0, Dec Anomaly, NPL
1.9893, 2060-2079, access1_3, Jan Anomaly, NPL
2.53458, 2060-2079, access1_3, Feb Anomaly, NPL
3.78175, 2060-2079, access1_3, Mar Anomaly, NPL
4.18566, 2060-2079, access1_3, Apr Anomaly, NPL
4.15759, 2060-2079, access1_3, May Anomaly, NPL
1.84932, 2060-2079, access1_3, Jun Anomaly, NPL
1.07943, 2060-2079, access1_3, Jul Anomaly, NPL
1.84833, 2060-2079, access1_3, Aug Anomaly, NPL
2.22696, 2060-2079, access1_3, Sep Anomaly, NPL
2.71319, 2060-2079, access1_3, Oct Anomaly, NPL
1.61657, 2060-2079, access1_3, Nov Anomaly, NPL
2.21664, 2060-2079, access1_3, Dec Anomaly, NPL
2.42705, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.87659, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
2.11444, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
3.72588, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
2.29172, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
2.44901, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
2.55109, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.72901, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
1.57518, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.66167, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.84396, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
2.13392, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.99734, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
1.33906, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
2.13121, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
2.80626, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
2.61535, 2060-2079, bcc_csm1_1, May Anomaly, NPL
2.16498, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
2.11894, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
1.32678, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.91125, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
2.05623, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.8189, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
2.0001, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
3.24526, 2060-2079, bnu_esm, Jan Anomaly, NPL
3.25063, 2060-2079, bnu_esm, Feb Anomaly, NPL
3.93077, 2060-2079, bnu_esm, Mar Anomaly, NPL
2.77561, 2060-2079, bnu_esm, Apr Anomaly, NPL
3.50815, 2060-2079, bnu_esm, May Anomaly, NPL
