Maximum of Daily Max-Temperature - (Celsius), Year, Model, Statistics, ISO3
1.54099, 2060-2079, bcc_csm1_1_m, Jan Anomaly, NPL
1.14219, 2060-2079, bcc_csm1_1_m, Feb Anomaly, NPL
1.58411, 2060-2079, bcc_csm1_1_m, Mar Anomaly, NPL
2.46959, 2060-2079, bcc_csm1_1_m, Apr Anomaly, NPL
1.52395, 2060-2079, bcc_csm1_1_m, May Anomaly, NPL
1.57502, 2060-2079, bcc_csm1_1_m, Jun Anomaly, NPL
1.54859, 2060-2079, bcc_csm1_1_m, Jul Anomaly, NPL
2.22163, 2060-2079, bcc_csm1_1_m, Aug Anomaly, NPL
0.40708, 2060-2079, bcc_csm1_1_m, Sep Anomaly, NPL
1.56493, 2060-2079, bcc_csm1_1_m, Oct Anomaly, NPL
1.4681, 2060-2079, bcc_csm1_1_m, Nov Anomaly, NPL
2.03994, 2060-2079, bcc_csm1_1_m, Dec Anomaly, NPL
1.96736, 2060-2079, bcc_csm1_1, Jan Anomaly, NPL
0.22779, 2060-2079, bcc_csm1_1, Feb Anomaly, NPL
1.4998, 2060-2079, bcc_csm1_1, Mar Anomaly, NPL
1.64103, 2060-2079, bcc_csm1_1, Apr Anomaly, NPL
1.33702, 2060-2079, bcc_csm1_1, May Anomaly, NPL
1.2577, 2060-2079, bcc_csm1_1, Jun Anomaly, NPL
1.78461, 2060-2079, bcc_csm1_1, Jul Anomaly, NPL
0.53311, 2060-2079, bcc_csm1_1, Aug Anomaly, NPL
1.01847, 2060-2079, bcc_csm1_1, Sep Anomaly, NPL
1.13229, 2060-2079, bcc_csm1_1, Oct Anomaly, NPL
1.33031, 2060-2079, bcc_csm1_1, Nov Anomaly, NPL
1.54053, 2060-2079, bcc_csm1_1, Dec Anomaly, NPL
1.51685, 2060-2079, bnu_esm, Jan Anomaly, NPL
1.53954, 2060-2079, bnu_esm, Feb Anomaly, NPL
2.98343, 2060-2079, bnu_esm, Mar Anomaly, NPL
